trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,3.0,2.0,1.0,left,Z,1.0,209.69999999403944,1.0,0.0,1.0,False,1.0
2,2,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,7.0,3.0,4.0,left,M,0.0,489.3999999985099,0.0,0.0,0.0,False,0.0
3,3,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,6.0,4.0,right,,,3006.099999997019,,,,True,
4,4,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,8.0,5.0,right,,,2999.5999999999985,,,,True,
5,5,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,2.0,7.0,left,,,2997.599999997019,,,,True,
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,7.0,2.0,left,M,0.0,300.0999999955311,0.0,0.0,0.0,False,0.0
7,7,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,5.0,1.0,4.0,left,,,3005.39999999851,,,,True,
8,8,calibration,1,B,2,0.0,0.0,0.8,0.8,left,left,1,1,3.0,10.0,7.0,right,,,3004.3999999955267,,,,True,
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,6.0,2.0,right,,,2999.099999998507,,,,True,
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,6.0,5.0,right,,,3004.5999999940395,,,,True,
11,11,calibration,1,C,3,0.0,1.0,0.9,0.8,left,right,1,0,2.0,8.0,6.0,right,,,3006.4999999940337,,,,True,
12,12,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,9.0,7.0,2.0,left,,,3006.099999995524,,,,True,
13,13,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,6.0,7.0,1.0,right,,,2999.0999999970227,,,,True,
14,14,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,6.0,1.0,5.0,left,,,3002.199999998513,,,,True,
15,15,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,2.0,7.0,5.0,right,,,3000.599999995524,,,,True,
16,16,calibration,1,C,3,0.0,1.0,0.9,0.8,right,left,0,1,5.0,2.0,3.0,left,,,3002.699999998513,,,,True,
17,17,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,6.0,10.0,4.0,right,M,0.0,1034.199999997014,0.0,1.0,1.0,False,0.0
18,18,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,6.0,4.0,left,,,3001.0999999940395,,,,True,
