trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,10.0,4.0,6.0,left,Z,1.0,808.0,1.0,1.0,1.0,False,1.0
2,2,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,4.0,7.0,3.0,right,Z,1.0,465.0,1.0,0.0,0.0,False,1.0
3,3,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,7.0,2.0,right,M,0.0,230.0,1.0,1.0,1.0,False,0.0
4,4,calibration,1,B,2,0.0,0.0,0.8,0.8,right,right,0,0,6.0,3.0,3.0,left,M,0.0,351.00000000001455,1.0,1.0,0.0,False,0.0
5,5,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,1.0,8.0,7.0,right,Z,1.0,853.0000000000146,0.0,1.0,0.0,False,1.0
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,2051.0,1.0,1.0,1.0,False,0.0
7,7,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,6.0,8.0,2.0,right,Z,1.0,521.0,0.0,1.0,0.0,False,1.0
8,8,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,2.0,3.0,1.0,right,Z,1.0,890.0,0.0,1.0,0.0,False,1.0
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,5.0,4.0,1.0,left,Z,1.0,1114.0,1.0,1.0,1.0,False,1.0
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,7.0,5.0,right,M,0.0,967.0,1.0,1.0,1.0,False,0.0
11,11,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,5.0,4.0,1.0,left,M,0.0,531.0,0.0,1.0,0.0,False,0.0
12,12,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,5.0,10.0,5.0,right,Z,1.0,1877.0,0.0,0.0,0.0,False,1.0
13,13,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,8.0,7.0,right,M,0.0,1030.0,1.0,1.0,1.0,False,0.0
14,14,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,6.0,1.0,5.0,left,Z,1.0,849.0,1.0,1.0,1.0,False,1.0
15,15,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,8.0,6.0,right,Z,1.0,482.0,0.0,0.0,0.0,False,1.0
16,16,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,722.0,1.0,1.0,1.0,False,0.0
17,17,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,5.0,3.0,right,Z,1.0,833.0,0.0,0.0,0.0,False,1.0
18,18,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,5.0,4.0,1.0,left,Z,1.0,847.0,1.0,1.0,1.0,False,1.0
19,19,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,8.0,3.0,5.0,left,M,0.0,63.0,1.0,0.0,0.0,False,0.0
20,20,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,5.0,3.0,2.0,left,Z,1.0,1196.0,1.0,1.0,1.0,False,1.0
21,21,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,10.0,9.0,1.0,left,M,0.0,1099.0,0.0,0.0,0.0,False,0.0
22,22,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,1.0,9.0,left,Z,1.0,827.0,1.0,1.0,1.0,False,1.0
23,23,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,10.0,4.0,6.0,left,Z,1.0,1298.0,0.0,1.0,1.0,False,1.0
24,24,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,3.0,5.0,2.0,right,M,0.0,586.0,1.0,1.0,1.0,False,0.0
25,25,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,4.0,2.0,right,M,0.0,1338.0,1.0,1.0,1.0,False,0.0
26,26,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,9.0,1.0,8.0,left,Z,1.0,1354.000000000029,1.0,0.0,1.0,False,1.0
27,27,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,8.0,1.0,7.0,left,M,0.0,451.0,0.0,0.0,0.0,False,0.0
28,28,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,7.0,2.0,left,Z,1.0,509.0,1.0,1.0,1.0,False,1.0
29,29,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,7.0,8.0,1.0,right,Z,1.0,1317.0,1.0,0.0,0.0,False,1.0
30,30,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,2.0,3.0,1.0,right,M,0.0,1504.000000000029,1.0,0.0,1.0,False,0.0
31,31,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,5.0,4.0,1.0,left,Z,1.0,1297.000000000029,1.0,1.0,1.0,False,1.0
32,32,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,8.0,7.0,right,M,0.0,1365.0,1.0,1.0,1.0,False,0.0
33,33,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,5.0,10.0,5.0,right,Z,1.0,1024.0,1.0,0.0,0.0,False,1.0
34,34,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,6.0,1.0,left,Z,1.0,94.0,1.0,1.0,1.0,False,1.0
35,35,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,6.0,4.0,2.0,left,Z,1.0,1664.0,1.0,0.0,1.0,False,1.0
36,36,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,4.0,3.0,1.0,left,M,0.0,1392.0,0.0,0.0,0.0,False,0.0
37,37,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,5.0,3.0,right,M,0.0,1418.0,1.0,1.0,1.0,False,0.0
38,38,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,3.0,4.0,1.0,right,Z,1.0,1450.0,1.0,0.0,0.0,False,1.0
39,39,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,9.0,2.0,7.0,left,M,0.0,124.0,1.0,0.0,0.0,False,0.0
40,40,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,10.0,6.0,4.0,left,Z,1.0,602.0,1.0,1.0,1.0,False,1.0
41,41,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,9.0,1.0,8.0,left,Z,1.0,976.0,1.0,0.0,1.0,False,1.0
42,42,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,6.0,2.0,4.0,left,M,0.0,837.0,0.0,0.0,0.0,False,0.0
43,43,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,8.0,7.0,1.0,left,Z,1.0,480.0000000000582,1.0,1.0,1.0,False,1.0
44,44,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,4.0,3.0,right,M,0.0,574.0,1.0,1.0,1.0,False,0.0
45,45,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,9.0,10.0,1.0,right,Z,1.0,1900.0,0.0,0.0,0.0,False,1.0
46,46,verbal_volatile,2,A,1,1.0,1.0,0.7,0.2,right,right,0,0,1.0,7.0,6.0,right,M,0.0,563.0,1.0,1.0,1.0,False,0.0
47,47,verbal_volatile,2,B,2,1.0,1.0,0.8,0.2,right,right,0,0,5.0,10.0,5.0,right,Z,1.0,1849.0,0.0,0.0,0.0,False,1.0
48,48,verbal_volatile,2,C,3,1.0,1.0,0.9,0.2,left,left,1,1,8.0,6.0,2.0,left,Z,1.0,104.0,1.0,1.0,1.0,False,1.0
49,49,verbal_volatile,2,C,3,1.0,0.0,0.9,0.2,right,left,0,1,3.0,8.0,5.0,right,M,0.0,820.0,1.0,0.0,1.0,False,0.0
50,50,verbal_volatile,2,B,2,1.0,0.0,0.8,0.2,left,right,1,0,7.0,5.0,2.0,left,Z,1.0,391.0,1.0,0.0,1.0,False,1.0
51,51,verbal_volatile,2,A,1,0.0,0.0,0.7,0.2,right,right,0,0,3.0,2.0,1.0,left,M,0.0,365.0,1.0,1.0,0.0,False,0.0
