trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,8.0,10.0,2.0,right,Z,1.0,282.9999999523134,0.0,1.0,0.0,False,1.0
2,2,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,7.0,8.0,1.0,right,M,0.0,164.0999999523192,1.0,1.0,1.0,False,0.0
3,3,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,7.0,6.0,right,Z,1.0,702.999999976164,0.0,0.0,0.0,False,1.0
4,4,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,5.0,1.0,right,M,0.0,193.29999995231628,1.0,1.0,1.0,False,0.0
5,5,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,5.0,7.0,2.0,right,M,0.0,426.0999999523192,1.0,1.0,1.0,False,0.0
6,6,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,4.0,6.0,2.0,right,M,0.0,534.999999976164,1.0,0.0,1.0,False,0.0
7,7,calibration,1,A,1,0.0,0.0,0.7,0.8,left,left,1,1,6.0,9.0,3.0,right,Z,1.0,678.5999999523192,1.0,1.0,0.0,False,1.0
8,8,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,5.0,2.0,right,M,0.0,776.6999999523105,1.0,1.0,1.0,False,0.0
9,9,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,6.0,5.0,1.0,left,M,0.0,775.4999999523134,0.0,1.0,0.0,False,0.0
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,7.0,2.0,left,M,0.0,542.7999999761523,0.0,0.0,0.0,False,0.0
11,11,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,10.0,5.0,right,M,0.0,399.6999999284744,1.0,1.0,1.0,False,0.0
12,12,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,7.0,8.0,1.0,right,Z,1.0,731.999999976164,0.0,1.0,0.0,False,1.0
13,13,calibration,1,C,3,0.0,0.0,0.9,0.8,left,left,1,1,2.0,9.0,7.0,right,Z,1.0,758.3999999523221,1.0,1.0,0.0,False,1.0
14,14,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,6.0,1.0,left,Z,1.0,106.0999999284686,1.0,1.0,1.0,False,1.0
15,15,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,10.0,8.0,right,Z,1.0,530.5999999523046,0.0,0.0,0.0,False,1.0
16,16,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,80.09999995230464,1.0,1.0,1.0,False,0.0
17,17,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,8.0,3.0,5.0,left,Z,1.0,66.19999995231046,1.0,1.0,1.0,False,1.0
18,18,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,3.0,8.0,5.0,right,M,0.0,200.79999999998836,1.0,1.0,1.0,False,0.0
19,19,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,7.0,2.0,5.0,left,Z,1.0,358.29999992848025,1.0,1.0,1.0,False,1.0
20,20,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,10.0,8.0,2.0,left,Z,1.0,292.0999999284686,1.0,1.0,1.0,False,1.0
21,21,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,7.0,5.0,right,M,0.0,259.9999999523279,1.0,1.0,1.0,False,0.0
22,22,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,6.0,10.0,4.0,right,M,0.0,421.9999999284628,1.0,1.0,1.0,False,0.0
23,23,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,9.0,5.0,right,M,0.0,899.0999999284686,1.0,1.0,1.0,False,0.0
24,24,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,10.0,9.0,1.0,left,M,0.0,521.1999999284744,0.0,1.0,0.0,False,0.0
25,25,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,9.0,6.0,right,M,0.0,471.5999999284686,1.0,1.0,1.0,False,0.0
26,26,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,5.0,1.0,4.0,left,Z,1.0,453.6999999284744,1.0,1.0,1.0,False,1.0
27,27,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,4.0,9.0,5.0,right,M,0.0,336.5999999284686,1.0,1.0,1.0,False,0.0
28,28,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,10.0,4.0,6.0,left,Z,1.0,422.0999999284686,1.0,1.0,1.0,False,1.0
29,29,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,8.0,1.0,7.0,left,Z,1.0,363.2999999523163,1.0,1.0,1.0,False,1.0
30,30,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,5.0,1.0,right,M,0.0,486.9000000238302,1.0,1.0,1.0,False,0.0
31,31,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,8.0,7.0,1.0,left,M,0.0,604.1999999523105,1.0,0.0,0.0,False,0.0
32,32,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,4.0,3.0,1.0,left,Z,1.0,205.19999992847443,1.0,1.0,1.0,False,1.0
33,33,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,7.0,8.0,1.0,right,M,0.0,291.1999999284744,1.0,1.0,1.0,False,0.0
34,34,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,10.0,8.0,2.0,left,Z,1.0,298.39999992848607,0.0,1.0,1.0,False,1.0
35,35,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,7.0,9.0,2.0,right,M,0.0,436.10000002384186,1.0,1.0,1.0,False,0.0
36,36,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,8.0,7.0,1.0,left,Z,1.0,840.9999999284628,1.0,1.0,1.0,False,1.0
37,37,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,280.4999999284628,1.0,1.0,1.0,False,0.0
38,38,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,5.0,4.0,left,Z,1.0,602.5999999284686,1.0,1.0,1.0,False,1.0
39,39,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,4.0,10.0,6.0,right,M,0.0,1084.9999999284628,1.0,1.0,1.0,False,0.0
40,40,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,5.0,2.0,3.0,left,Z,1.0,978.0999999284976,0.0,1.0,1.0,False,1.0
41,41,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,6.0,10.0,4.0,right,M,0.0,808.6999999523396,1.0,1.0,1.0,False,0.0
42,42,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,10.0,6.0,right,M,0.0,612.3000000238535,1.0,1.0,1.0,False,0.0
43,43,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,6.0,4.0,right,M,0.0,1101.6999999761465,1.0,1.0,1.0,False,0.0
44,44,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,1.0,8.0,7.0,right,Z,1.0,460.89999992848607,1.0,0.0,0.0,False,1.0
45,45,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,8.0,4.0,right,M,0.0,379.79999992845114,1.0,1.0,1.0,False,0.0
46,46,facial_volatile,4,B,2,1.0,1.0,0.2,0.8,left,left,1,1,7.0,3.0,4.0,left,Z,1.0,477.3000000238535,1.0,1.0,1.0,False,1.0
47,47,facial_volatile,4,A,1,0.0,1.0,0.1,0.8,left,right,1,0,1.0,3.0,2.0,right,M,0.0,351.29999992845114,0.0,1.0,1.0,False,0.0
48,48,facial_volatile,4,C,3,0.0,1.0,0.3,0.8,right,left,0,1,9.0,7.0,2.0,left,M,0.0,566.6000000000349,1.0,0.0,0.0,False,0.0
49,49,facial_volatile,4,C,3,1.0,1.0,0.3,0.8,left,left,1,1,7.0,1.0,6.0,left,Z,1.0,926.5999999284976,1.0,1.0,1.0,False,1.0
50,50,facial_volatile,4,A,1,0.0,1.0,0.1,0.8,left,right,1,0,4.0,6.0,2.0,right,M,0.0,827.9999999284628,0.0,1.0,1.0,False,0.0
51,51,facial_volatile,4,B,2,0.0,0.0,0.2,0.8,left,left,1,1,1.0,10.0,9.0,right,Z,1.0,683.4000000000233,1.0,1.0,0.0,False,1.0
52,52,facial_volatile,4,C,3,1.0,1.0,0.3,0.8,right,right,0,0,2.0,5.0,3.0,right,M,0.0,881.5000000238651,1.0,1.0,1.0,False,0.0
53,53,facial_volatile,4,A,1,0.0,0.0,0.1,0.8,right,right,0,0,2.0,1.0,1.0,left,M,0.0,405.39999992848607,1.0,1.0,0.0,False,0.0
54,54,facial_volatile,4,B,2,0.0,1.0,0.2,0.8,left,right,1,0,1.0,8.0,7.0,right,M,0.0,471.4000000238302,0.0,1.0,1.0,False,0.0
55,55,facial_volatile,4,C,3,1.0,0.0,0.3,0.8,right,left,0,1,2.0,8.0,6.0,right,Z,1.0,607.9999999284628,0.0,1.0,0.0,False,1.0
56,56,facial_volatile,4,B,2,0.0,0.0,0.2,0.8,right,right,0,0,3.0,2.0,1.0,left,M,0.0,260.5,1.0,1.0,0.0,False,0.0
57,57,facial_volatile,4,A,1,0.0,1.0,0.1,0.8,left,right,1,0,2.0,6.0,4.0,right,M,0.0,360.2000000238186,0.0,1.0,1.0,False,0.0
