event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P030,9.0,verbal_first,1.0,1,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,10.0,4.0,6.0,left,CLUB-10.png,6.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,448.8999999940861,False,1.0,1.0,1.0,1.0,1.0,1,2,1,1,1
45,P030,9.0,verbal_first,1.0,2,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,4.0,7.0,3.0,right,DIAMOND-7.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,357.89999997615814,False,1.0,1.0,0.0,0.0,1.0,2,1,1,1,0
50,P030,9.0,verbal_first,1.0,3,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,5.0,7.0,2.0,right,CLUB-7.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,16.899999999906868,False,0.0,1.0,1.0,1.0,0.0,3,3,1,0,0
55,P030,9.0,verbal_first,1.0,4,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,0.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,6.0,3.0,3.0,left,HEART-6.png,3.0,I think I'm going to win this round.,Z,M,Z,M,0.0,303.59999998810235,False,0.0,1.0,1.0,0.0,0.0,4,2,1,0,0
60,P030,9.0,verbal_first,1.0,5,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,8.0,7.0,right,HEART-8.png,7.0,I think I'm going to win this round.,Z,M,M,M,1.0,85.7999999821186,False,0.0,1.0,0.0,1.0,0.0,5,1,1,0,1
65,P030,9.0,verbal_first,1.0,6,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,1.0,9.0,8.0,right,DIAMOND-9.png,8.0,I think I'm going to win this round.,Z,M,M,M,1.0,150.10000000009313,False,0.0,1.0,1.0,1.0,0.0,6,3,1,0,0
70,P030,9.0,verbal_first,1.0,7,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,6.0,8.0,2.0,right,DIAMOND-8.png,2.0,I think I'm going to win this round.,Z,M,M,Z,0.0,111.90000000002328,False,1.0,0.0,1.0,0.0,1.0,7,1,1,0,1
75,P030,9.0,verbal_first,1.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,2.0,3.0,1.0,right,CLUB-3.png,1.0,I think I'm going to win this round.,Z,M,M,Z,0.0,279.7999999821186,False,1.0,0.0,1.0,0.0,1.0,8,2,1,0,1
80,P030,9.0,verbal_first,1.0,9,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,5.0,4.0,1.0,left,CLUB-5.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,126.29999999399296,False,1.0,1.0,1.0,1.0,1.0,9,3,1,1,1
85,P030,9.0,verbal_first,1.0,10,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,2.0,7.0,5.0,right,SPADE-7.png,5.0,I think I'm going to win this round.,Z,M,M,Z,0.0,483.20000000018626,False,1.0,0.0,0.0,0.0,1.0,10,1,1,0,0
90,P030,9.0,verbal_first,1.0,11,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,5.0,4.0,1.0,left,SPADE-5.png,1.0,I think I'm going to win this round.,Z,M,Z,M,0.0,219.59999998810235,False,0.0,0.0,1.0,0.0,0.0,11,3,1,1,0
95,P030,9.0,verbal_first,1.0,12,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,5.0,10.0,5.0,right,DIAMOND-10.png,5.0,I think I'm going to win this round.,Z,M,M,Z,0.0,16.699999999953434,False,1.0,0.0,0.0,0.0,1.0,12,2,1,0,0
100,P030,9.0,verbal_first,1.0,13,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,8.0,7.0,right,HEART-8.png,7.0,I think I'm going to win this round.,Z,M,M,Z,0.0,126.39999998209532,False,1.0,0.0,0.0,0.0,1.0,13,1,1,0,0
105,P030,9.0,verbal_first,1.0,14,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,6.0,1.0,5.0,left,DIAMOND-6.png,5.0,I think I'm going to win this round.,Z,M,Z,M,0.0,376.4999999881256,False,0.0,0.0,0.0,0.0,0.0,14,3,1,1,1
110,P030,9.0,verbal_first,1.0,15,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,2.0,8.0,6.0,right,CLUB-8.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,227.49999998207204,False,0.0,1.0,1.0,1.0,0.0,15,2,1,0,0
115,P030,9.0,verbal_first,1.0,16,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,1.0,9.0,8.0,right,CLUB-9.png,8.0,I think I'm going to win this round.,Z,M,M,M,1.0,91.2999999880558,False,0.0,1.0,1.0,1.0,0.0,16,3,1,0,0
120,P030,9.0,verbal_first,1.0,17,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,2.0,5.0,3.0,right,DIAMOND-5.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,994.2999999761814,False,1.0,0.0,0.0,0.0,1.0,17,2,1,0,0
