trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,9.0,5.0,4.0,left,M,0.0,529.2000000238477,1.0,0.0,0.0,False,0.0
2,2,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,4.0,2.0,2.0,left,Z,1.0,1544.199999999997,0.0,1.0,1.0,False,1.0
3,3,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,9.0,5.0,4.0,left,Z,1.0,961.800000023839,1.0,0.0,1.0,False,1.0
4,4,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,3.0,1.0,2.0,left,Z,1.0,1677.199999976161,1.0,1.0,1.0,False,1.0
5,5,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,3.0,6.0,3.0,right,Z,1.0,1616.5999999999767,1.0,0.0,0.0,False,1.0
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,4.0,3.0,1.0,left,Z,1.0,1116.6000000000058,1.0,1.0,1.0,False,1.0
7,7,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,10.0,2.0,8.0,left,Z,1.0,1091.5999999761698,0.0,1.0,1.0,False,1.0
8,8,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,9.0,4.0,5.0,left,M,0.0,2188.59999997617,1.0,0.0,0.0,False,0.0
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,7.0,2.0,right,M,0.0,1003.899999976158,1.0,1.0,1.0,False,0.0
10,10,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,7.0,4.0,3.0,left,Z,1.0,216.1999999761465,1.0,1.0,1.0,False,1.0
