trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,4.0,10.0,6.0,right,Z,1.0,932.4999999999854,0.0,1.0,0.0,False,1.0
2,2,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,6.0,10.0,4.0,right,M,0.0,133.0,0.0,1.0,1.0,False,0.0
3,3,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,5.0,7.0,2.0,right,M,0.0,97.89999999999418,1.0,1.0,1.0,False,0.0
4,4,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,4.0,2.0,right,M,0.0,65.60000000595755,1.0,1.0,1.0,False,0.0
5,5,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,8.0,1.0,7.0,left,Z,1.0,55.90000001192675,1.0,1.0,1.0,False,1.0
6,6,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,7.0,3.0,right,M,0.0,265.999999988082,1.0,1.0,1.0,False,0.0
7,7,calibration,1,A,1,0.0,0.0,0.7,0.8,left,left,1,1,5.0,6.0,1.0,right,Z,1.0,182.4000000059605,1.0,1.0,0.0,False,1.0
8,8,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,8.0,6.0,right,M,0.0,21.60000000595755,1.0,1.0,1.0,False,0.0
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,5.0,1.0,right,M,0.0,275.69999998807907,1.0,1.0,1.0,False,0.0
10,10,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,8.0,4.0,4.0,left,Z,1.0,402.6000000000058,1.0,1.0,1.0,False,1.0
11,11,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,4.0,1.0,3.0,left,Z,1.0,1320.199999999997,0.0,1.0,1.0,False,1.0
12,12,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,8.0,3.0,5.0,left,Z,1.0,364.3999999940425,0.0,1.0,1.0,False,1.0
13,13,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,9.0,10.0,1.0,right,M,0.0,390.6000000059721,1.0,1.0,1.0,False,0.0
14,14,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,1.0,8.0,7.0,right,Z,1.0,54.39999998809071,0.0,1.0,0.0,False,1.0
15,15,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,6.0,7.0,1.0,right,Z,1.0,913.3000000059546,0.0,1.0,0.0,False,1.0
16,16,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,6.0,1.0,left,,,2999.299999988085,,,,True,
17,17,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,8.0,5.0,3.0,left,Z,1.0,442.0,0.0,1.0,1.0,False,1.0
18,18,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,10.0,7.0,3.0,left,Z,1.0,1500.5,1.0,1.0,1.0,False,1.0
19,19,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,7.0,5.0,right,M,0.0,748.5999999880733,1.0,1.0,1.0,False,0.0
20,20,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,10.0,2.0,8.0,left,Z,1.0,472.2000000119151,1.0,1.0,1.0,False,1.0
21,21,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,5.0,9.0,4.0,right,M,0.0,378.199999988079,1.0,1.0,1.0,False,0.0
22,22,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,8.0,3.0,5.0,left,M,0.0,442.8999999999942,0.0,1.0,0.0,False,0.0
