trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,3.0,2.0,1.0,left,M,0.0,1255.499999976164,0.0,1.0,0.0,False,0.0
2,2,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,7.0,3.0,4.0,left,Z,1.0,1492.199999988079,1.0,1.0,1.0,False,1.0
3,3,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,6.0,4.0,right,Z,1.0,1606.0999999880733,0.0,0.0,0.0,False,1.0
4,4,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,8.0,5.0,right,M,0.0,191.6999999999971,1.0,1.0,1.0,False,0.0
5,5,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,2.0,7.0,left,Z,1.0,32.69999997616105,1.0,1.0,1.0,False,1.0
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,7.0,2.0,left,Z,1.0,1288.2999999761523,1.0,1.0,1.0,False,1.0
7,7,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,5.0,1.0,4.0,left,M,0.0,1859.6000000000056,0.0,1.0,0.0,False,0.0
8,8,calibration,1,B,2,0.0,0.0,0.8,0.8,left,left,1,1,3.0,10.0,7.0,right,Z,1.0,54.29999998808489,1.0,1.0,0.0,False,1.0
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,6.0,2.0,right,M,0.0,554.9999999940337,1.0,1.0,1.0,False,0.0
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,6.0,5.0,right,M,0.0,260.499999988082,1.0,1.0,1.0,False,0.0
11,11,calibration,1,C,3,0.0,1.0,0.9,0.8,left,right,1,0,2.0,8.0,6.0,right,M,0.0,1026.999999976164,0.0,1.0,1.0,False,0.0
12,12,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,9.0,7.0,2.0,left,Z,1.0,103.5,0.0,1.0,1.0,False,1.0
13,13,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,6.0,7.0,1.0,right,M,0.0,818.2999999880849,1.0,1.0,1.0,False,0.0
14,14,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,6.0,1.0,5.0,left,Z,1.0,914.399999994028,0.0,1.0,1.0,False,1.0
15,15,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,2.0,7.0,5.0,right,M,0.0,760.2999999999884,0.0,1.0,1.0,False,0.0
16,16,calibration,1,C,3,0.0,1.0,0.9,0.8,right,left,0,1,5.0,2.0,3.0,left,Z,1.0,437.3999999940279,0.0,1.0,1.0,False,1.0
17,17,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,6.0,10.0,4.0,right,M,0.0,59.29999998211861,0.0,1.0,1.0,False,0.0
18,18,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,6.0,4.0,left,Z,1.0,428.8999999940279,1.0,1.0,1.0,False,1.0
19,19,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,6.0,3.0,left,Z,1.0,80.39999998212443,1.0,1.0,1.0,False,1.0
20,20,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,8.0,6.0,right,M,0.0,1010.5,1.0,1.0,1.0,False,0.0
21,21,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,7.0,1.0,6.0,left,Z,1.0,547.2999999821186,1.0,1.0,1.0,False,1.0
22,22,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,8.0,2.0,left,Z,1.0,430.69999999404536,1.0,1.0,1.0,False,1.0
23,23,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,8.0,1.0,left,Z,1.0,442.8999999940279,1.0,1.0,1.0,False,1.0
24,24,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,437.2999999880849,1.0,1.0,1.0,False,0.0
25,25,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,3.0,5.0,2.0,right,Z,1.0,387.99999998213025,0.0,1.0,0.0,False,1.0
26,26,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,7.0,10.0,3.0,right,M,0.0,89.89999998809071,1.0,1.0,1.0,False,0.0
27,27,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,5.0,1.0,4.0,left,Z,1.0,399.5999999761698,1.0,1.0,1.0,False,1.0
28,28,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,7.0,3.0,right,M,0.0,373.8999999999942,1.0,1.0,1.0,False,0.0
29,29,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,5.0,1.0,4.0,left,Z,1.0,934.999999976164,0.0,1.0,1.0,False,1.0
30,30,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,10.0,1.0,9.0,left,Z,1.0,409.7999999821186,0.0,1.0,1.0,False,1.0
31,31,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,10.0,5.0,right,Z,1.0,527.099999982107,0.0,0.0,0.0,False,1.0
32,32,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,9.0,1.0,left,Z,1.0,603.2999999880849,1.0,1.0,1.0,False,1.0
33,33,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,5.0,1.0,right,M,0.0,126.1999999821128,1.0,1.0,1.0,False,0.0
34,34,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,8.0,6.0,right,M,0.0,519.5999999940395,1.0,1.0,1.0,False,0.0
35,35,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,10.0,4.0,6.0,left,Z,1.0,723.1999999821128,0.0,1.0,1.0,False,1.0
36,36,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,7.0,8.0,1.0,right,M,0.0,427.3999999999942,0.0,1.0,1.0,False,0.0
37,37,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,7.0,10.0,3.0,right,Z,1.0,23.999999976163963,0.0,1.0,0.0,False,1.0
38,38,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,5.0,4.0,left,Z,1.0,262.3999999999942,1.0,1.0,1.0,False,1.0
39,39,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,5.0,1.0,right,M,0.0,377.499999976164,1.0,1.0,1.0,False,0.0
40,40,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,6.0,5.0,right,M,0.0,2146.0999999999767,1.0,1.0,1.0,False,0.0
41,41,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,3.0,4.0,1.0,right,M,0.0,527.8999999820953,0.0,1.0,1.0,False,0.0
