event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P005,9.0,facial_first,1.0,1,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,9.0,6.0,3.0,left,CLUB-9.png,3.0,I think I'm going to win this round.,Z,M,Z,M,0.0,512.2999999523163,False,0.0,0.0,0.0,0.0,0.0,1,3,1,1,1
45,P005,9.0,facial_first,1.0,2,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,4.0,2.0,2.0,left,SPADE-4.png,2.0,I think I'm going to win this round.,Z,M,Z,M,0.0,600.1999999999971,False,0.0,0.0,1.0,0.0,0.0,2,1,1,1,0
50,P005,9.0,facial_first,1.0,3,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,4.0,9.0,5.0,right,SPADE-9.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,48.59999997615523,False,0.0,1.0,1.0,1.0,0.0,3,2,1,0,0
55,P005,9.0,facial_first,1.0,4,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,2.0,6.0,4.0,right,SPADE-6.png,4.0,I think I'm going to win this round.,Z,M,M,M,1.0,398.7999999761523,False,0.0,1.0,1.0,1.0,0.0,4,1,1,0,0
60,P005,9.0,facial_first,1.0,5,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,10.0,4.0,6.0,left,SPADE-10.png,6.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,142.59999997615523,False,1.0,1.0,0.0,1.0,1.0,5,2,1,1,0
65,P005,9.0,facial_first,1.0,6,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,9.0,8.0,1.0,left,SPADE-9.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,422.3000000238535,False,1.0,1.0,1.0,1.0,1.0,6,3,1,1,1
70,P005,9.0,facial_first,1.0,7,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,6.0,9.0,3.0,right,DIAMOND-9.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,243.4999999284628,False,1.0,1.0,0.0,0.0,1.0,7,1,1,1,0
75,P005,9.0,facial_first,1.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,9.0,3.0,6.0,left,DIAMOND-9.png,6.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,369.4999999523279,False,1.0,1.0,0.0,1.0,1.0,8,2,1,1,0
80,P005,9.0,facial_first,1.0,9,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,1.0,9.0,8.0,right,CLUB-9.png,8.0,I think I'm going to win this round.,Z,M,M,M,1.0,1111.399999952322,False,0.0,1.0,0.0,1.0,0.0,9,3,1,0,1
85,P005,9.0,facial_first,1.0,10,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,9.0,8.0,1.0,left,HEART-9.png,1.0,I think I'm going to win this round.,Z,M,Z,M,0.0,354.7999999761523,False,0.0,0.0,0.0,0.0,0.0,10,2,1,1,1
90,P005,9.0,facial_first,1.0,11,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,7.0,10.0,3.0,right,CLUB-10.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,72.29999992848025,False,1.0,1.0,0.0,0.0,1.0,11,1,1,1,0
95,P005,9.0,facial_first,1.0,12,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,4.0,3.0,1.0,left,SPADE-4.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,484.4999999523279,False,1.0,1.0,1.0,1.0,1.0,12,3,1,1,1
100,P005,9.0,facial_first,1.0,13,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,8.0,2.0,6.0,left,SPADE-8.png,6.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,650.0999999999767,False,1.0,0.0,1.0,1.0,1.0,13,2,1,0,1
105,P005,9.0,facial_first,1.0,14,calibration,,,C,neutral_vs_sad,0.9,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,2.0,6.0,4.0,right,DIAMOND-6.png,4.0,I think I'm going to win this round.,Z,M,M,Z,0.0,1090.6000000000058,False,1.0,1.0,0.0,0.0,1.0,14,3,1,1,0
110,P005,9.0,facial_first,1.0,15,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,5.0,6.0,1.0,right,DIAMOND-6.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,256.4999999523279,False,0.0,1.0,1.0,1.0,0.0,15,1,1,0,0
115,P005,9.0,facial_first,1.0,16,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,5.0,3.0,2.0,left,CLUB-5.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,391.7999999999883,False,1.0,1.0,0.0,1.0,1.0,16,1,1,1,0
120,P005,9.0,facial_first,1.0,17,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,8.0,4.0,4.0,left,DIAMOND-8.png,4.0,I think I'm going to win this round.,Z,M,Z,M,0.0,447.0999999284686,False,0.0,0.0,0.0,0.0,0.0,17,2,1,1,1
125,P005,9.0,facial_first,1.0,18,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,9.0,5.0,4.0,left,CLUB-9.png,4.0,I think I'm going to win this round.,Z,M,Z,M,0.0,664.999999976164,False,0.0,0.0,0.0,0.0,0.0,18,3,1,1,1
130,P005,9.0,facial_first,1.0,19,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,4.0,10.0,6.0,right,CLUB-10.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,1324.999999952328,False,0.0,1.0,1.0,1.0,0.0,19,2,1,0,0
135,P005,9.0,facial_first,1.0,20,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,1.0,3.0,2.0,right,CLUB-3.png,2.0,I think I'm going to win this round.,Z,M,M,Z,0.0,666.3000000000175,False,1.0,1.0,0.0,0.0,1.0,20,1,1,1,0
140,P005,9.0,facial_first,1.0,21,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,6.0,9.0,3.0,right,SPADE-9.png,3.0,I think I'm going to win this round.,Z,M,M,M,1.0,845.2000000000116,False,0.0,1.0,1.0,1.0,0.0,21,3,1,0,0
145,P005,9.0,facial_first,1.0,22,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,0.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,8.0,6.0,2.0,left,DIAMOND-8.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,513.4999999523279,False,1.0,0.0,0.0,1.0,1.0,22,2,1,0,0
150,P005,9.0,facial_first,1.0,23,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,5.0,2.0,3.0,left,HEART-5.png,3.0,I think I'm going to win this round.,Z,M,Z,M,0.0,742.2000000000116,False,0.0,0.0,0.0,0.0,0.0,23,3,1,1,1
155,P005,9.0,facial_first,1.0,24,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,0.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,3.0,7.0,4.0,right,CLUB-7.png,4.0,I think I'm going to win this round.,Z,M,M,Z,0.0,639.6000000000058,False,1.0,1.0,1.0,0.0,1.0,24,1,1,1,1
160,P005,9.0,facial_first,1.0,25,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,8.0,5.0,3.0,left,HEART-8.png,3.0,I think I'm going to win this round.,Z,M,Z,M,0.0,272.79999992848025,False,0.0,0.0,0.0,0.0,0.0,25,2,1,1,1
165,P005,9.0,facial_first,1.0,26,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,6.0,3.0,3.0,left,HEART-6.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,532.1999999761465,False,1.0,1.0,1.0,1.0,1.0,26,3,1,1,1
170,P005,9.0,facial_first,1.0,27,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,7.0,6.0,right,SPADE-7.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,835.4999999284628,False,0.0,1.0,1.0,1.0,0.0,27,1,1,0,0
175,P005,9.0,facial_first,1.0,28,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,6.0,7.0,1.0,right,SPADE-7.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,416.4999999284628,False,0.0,0.0,1.0,1.0,0.0,28,1,1,1,0
180,P005,9.0,facial_first,1.0,29,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,5.0,10.0,5.0,right,HEART-10.png,5.0,I think I'm going to win this round.,Z,M,M,Z,0.0,1271.399999952322,False,1.0,0.0,0.0,0.0,1.0,29,3,1,0,0
185,P005,9.0,facial_first,1.0,30,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,1.0,4.0,3.0,right,HEART-4.png,3.0,I think I'm going to win this round.,Z,M,M,M,1.0,1033.7999999999884,False,0.0,1.0,0.0,1.0,0.0,30,2,1,0,1
190,P005,9.0,facial_first,1.0,31,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,1.0,8.0,7.0,right,HEART-8.png,7.0,I think I'm going to win this round.,Z,M,M,Z,0.0,369.7999999999883,False,1.0,1.0,0.0,0.0,1.0,31,1,1,1,0
195,P005,9.0,facial_first,1.0,32,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,9.0,1.0,8.0,left,SPADE-9.png,8.0,I think I'm going to win this round.,Z,M,Z,M,0.0,246.5999999284977,False,0.0,0.0,0.0,0.0,0.0,32,2,1,1,1
200,P005,9.0,facial_first,1.0,33,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,4.0,8.0,4.0,right,CLUB-8.png,4.0,I think I'm going to win this round.,Z,M,M,M,1.0,245.40000002383024,False,0.0,1.0,1.0,1.0,0.0,33,3,1,0,0
205,P005,9.0,facial_first,1.0,34,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,6.0,1.0,5.0,left,DIAMOND-6.png,5.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,339.69999995233957,False,1.0,1.0,0.0,1.0,1.0,34,1,1,1,0
210,P005,9.0,facial_first,1.0,35,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,2.0,1.0,1.0,left,DIAMOND-2.png,1.0,I think I'm going to win this round.,Z,M,Z,M,0.0,1187.2000000000116,False,0.0,1.0,0.0,0.0,0.0,35,2,1,0,1
215,P005,9.0,facial_first,1.0,36,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,3.0,6.0,3.0,right,HEART-6.png,3.0,I think I'm going to win this round.,Z,M,M,M,1.0,206.69999992847443,False,0.0,1.0,1.0,1.0,0.0,36,3,1,0,0
220,P005,9.0,facial_first,1.0,37,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,5.0,2.0,3.0,left,SPADE-5.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,198.49999995232793,False,1.0,1.0,1.0,1.0,1.0,37,3,1,1,1
225,P005,9.0,facial_first,1.0,38,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,1.0,6.0,5.0,right,DIAMOND-6.png,5.0,I think I'm going to win this round.,Z,M,M,Z,0.0,740.5999999999767,False,1.0,0.0,0.0,0.0,1.0,38,2,1,0,0
230,P005,9.0,facial_first,1.0,39,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,6.0,10.0,4.0,right,CLUB-10.png,4.0,I think I'm going to win this round.,Z,M,M,M,1.0,621.6999999523396,False,0.0,1.0,0.0,1.0,0.0,39,1,1,0,1
235,P005,9.0,facial_first,1.0,40,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,8.0,2.0,6.0,left,CLUB-8.png,6.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,358.0999999284977,False,1.0,1.0,1.0,1.0,1.0,40,1,1,1,1
240,P005,9.0,facial_first,1.0,41,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,8.0,2.0,6.0,left,SPADE-8.png,6.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,43.29999999998836,False,1.0,1.0,1.0,1.0,1.0,41,3,1,1,1
245,P005,9.0,facial_first,1.0,42,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,5.0,8.0,3.0,right,CLUB-8.png,3.0,I think I'm going to win this round.,Z,M,M,M,1.0,501.0999999284977,False,0.0,1.0,1.0,1.0,0.0,42,2,1,0,0
250,P005,9.0,facial_first,1.0,43,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,9.0,8.0,right,SPADE-9.png,8.0,I think I'm going to win this round.,Z,M,M,M,1.0,1319.5000000238651,False,0.0,1.0,0.0,1.0,0.0,43,1,1,0,1
255,P005,9.0,facial_first,1.0,44,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,3.0,9.0,6.0,right,SPADE-9.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,165.29999995231628,False,0.0,1.0,1.0,1.0,0.0,44,3,1,0,0
260,P005,9.0,facial_first,1.0,45,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,0.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,4.0,2.0,2.0,left,DIAMOND-4.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,521.4999999761349,False,1.0,0.0,0.0,1.0,1.0,45,2,1,0,0
265,P005,9.0,facial_first,1.0,46,facial_volatile,,,B,happy_vs_neutral,0.2,0.8,0.0,1.0,right,left,1.0,2.0,1.0,low,high,NeutralPop.png,HappyPop.png,neutral,happy,8.0,2.0,6.0,left,SPADE-8.png,6.0,I think I'm going to win this round.,Z,M,Z,M,0.0,454.4999999523279,False,0.0,1.0,0.0,0.0,0.0,46,2,4,0,1
270,P005,9.0,facial_first,1.0,47,facial_volatile,,,C,neutral_vs_sad,0.3,0.8,0.0,1.0,right,left,1.0,2.0,1.0,low,high,SadPop.png,NeutralPop.png,sad,neutral,7.0,4.0,3.0,left,HEART-7.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,204.1999999761465,False,1.0,0.0,1.0,1.0,1.0,47,3,4,0,1
275,P005,9.0,facial_first,1.0,48,facial_volatile,,,A,happy_vs_sad,0.1,0.8,1.0,1.0,left,left,0.0,2.0,1.0,low,high,HappyPop.png,SadPop.png,happy,sad,9.0,3.0,6.0,left,CLUB-9.png,6.0,I think I'm going to win this round.,Z,M,Z,M,0.0,652.1000000238419,False,0.0,0.0,0.0,0.0,0.0,48,1,4,1,1
280,P005,9.0,facial_first,1.0,49,facial_volatile,,,B,happy_vs_neutral,0.2,0.8,1.0,1.0,left,left,0.0,2.0,1.0,low,high,HappyPop.png,NeutralPop.png,happy,neutral,4.0,3.0,1.0,left,HEART-4.png,1.0,I think I'm going to win this round.,Z,M,Z,M,0.0,83.0,False,0.0,0.0,0.0,0.0,0.0,49,2,4,1,1
285,P005,9.0,facial_first,1.0,50,facial_volatile,,,A,happy_vs_sad,0.1,0.8,0.0,1.0,left,right,1.0,2.0,1.0,low,high,HappyPop.png,SadPop.png,happy,sad,7.0,9.0,2.0,right,HEART-9.png,2.0,I think I'm going to win this round.,Z,M,M,Z,0.0,537.0999999999767,False,1.0,1.0,0.0,0.0,1.0,50,1,4,1,0
290,P005,9.0,facial_first,1.0,51,facial_volatile,,,C,neutral_vs_sad,0.3,0.8,0.0,1.0,right,left,1.0,2.0,1.0,low,high,SadPop.png,NeutralPop.png,sad,neutral,6.0,5.0,1.0,left,DIAMOND-6.png,1.0,I think I'm going to win this round.,Z,M,Z,M,0.0,638.7999999761814,False,0.0,1.0,0.0,0.0,0.0,51,3,4,0,1
295,P005,9.0,facial_first,1.0,52,facial_volatile,,,C,neutral_vs_sad,0.3,0.8,0.0,1.0,left,right,1.0,2.0,1.0,low,high,NeutralPop.png,SadPop.png,neutral,sad,4.0,7.0,3.0,right,DIAMOND-7.png,3.0,I think I'm going to win this round.,Z,M,M,M,1.0,1297.2999999761814,False,0.0,0.0,1.0,1.0,0.0,52,3,4,1,0
300,P005,9.0,facial_first,1.0,53,facial_volatile,,,B,happy_vs_neutral,0.2,0.8,0.0,1.0,left,right,1.0,2.0,1.0,low,high,HappyPop.png,NeutralPop.png,happy,neutral,1.0,6.0,5.0,right,SPADE-6.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,816.1999999284744,False,0.0,0.0,1.0,1.0,0.0,53,2,4,1,0
305,P005,9.0,facial_first,1.0,54,facial_volatile,,,A,happy_vs_sad,0.1,0.8,0.0,1.0,left,right,1.0,2.0,1.0,low,high,HappyPop.png,SadPop.png,happy,sad,2.0,6.0,4.0,right,SPADE-6.png,4.0,I think I'm going to win this round.,Z,M,M,Z,0.0,892.2999999284511,False,1.0,1.0,0.0,0.0,1.0,54,1,4,1,0
310,P005,9.0,facial_first,1.0,55,facial_volatile,,,C,neutral_vs_sad,0.3,0.8,0.0,1.0,right,left,1.0,2.0,1.0,low,high,SadPop.png,NeutralPop.png,sad,neutral,9.0,4.0,5.0,left,HEART-9.png,5.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,505.1999999523396,False,1.0,0.0,1.0,1.0,1.0,55,3,4,0,1
315,P005,9.0,facial_first,1.0,56,facial_volatile,,,B,happy_vs_neutral,0.2,0.8,0.0,1.0,right,left,1.0,2.0,1.0,low,high,NeutralPop.png,HappyPop.png,neutral,happy,9.0,7.0,2.0,left,SPADE-9.png,2.0,I think I'm going to win this round.,Z,M,Z,M,0.0,339.7999999523163,False,0.0,1.0,0.0,0.0,0.0,56,2,4,0,1
320,P005,9.0,facial_first,1.0,57,facial_volatile,,,A,happy_vs_sad,0.1,0.8,0.0,1.0,right,left,1.0,2.0,1.0,low,high,SadPop.png,HappyPop.png,sad,happy,3.0,2.0,1.0,left,DIAMOND-3.png,1.0,I think I'm going to win this round.,Z,M,Z,M,0.0,242.59999995230464,False,0.0,1.0,0.0,0.0,0.0,57,1,4,0,1
325,P005,9.0,facial_first,1.0,58,facial_volatile,,,A,happy_vs_sad,0.1,0.8,1.0,1.0,left,left,0.0,2.0,1.0,low,high,HappyPop.png,SadPop.png,happy,sad,8.0,4.0,4.0,left,HEART-8.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,402.4999999523279,False,1.0,1.0,1.0,1.0,1.0,58,1,4,1,1
330,P005,9.0,facial_first,1.0,59,facial_volatile,,,B,happy_vs_neutral,0.2,0.8,0.0,1.0,left,right,1.0,2.0,1.0,low,high,HappyPop.png,NeutralPop.png,happy,neutral,8.0,9.0,1.0,right,SPADE-9.png,1.0,I think I'm going to win this round.,Z,M,M,Z,0.0,795.5000000238651,False,1.0,1.0,0.0,0.0,1.0,59,2,4,1,0
335,P005,9.0,facial_first,1.0,60,facial_volatile,,,C,neutral_vs_sad,0.3,0.8,0.0,1.0,right,left,1.0,2.0,1.0,low,high,SadPop.png,NeutralPop.png,sad,neutral,7.0,5.0,2.0,left,SPADE-7.png,2.0,I think I'm going to win this round.,Z,M,Z,M,0.0,537.8000000238535,False,0.0,1.0,0.0,0.0,0.0,60,3,4,0,1
340,P005,9.0,facial_first,1.0,61,facial_volatile,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,3.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,10.0,5.0,5.0,left,CLUB-10.png,5.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,616.7999999999302,False,1.0,1.0,1.0,1.0,1.0,61,2,4,1,1
