trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,8.0,10.0,2.0,right,M,0.0,395.3999999999942,1.0,0.0,1.0,False,0.0
2,2,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,7.0,8.0,1.0,right,Z,1.0,17.09999999999127,0.0,0.0,0.0,False,1.0
3,3,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,7.0,6.0,right,M,0.0,802.4000000059605,1.0,1.0,1.0,False,0.0
4,4,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,5.0,1.0,right,M,0.0,987.100000023842,1.0,1.0,1.0,False,0.0
5,5,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,5.0,7.0,2.0,right,M,0.0,459.1000000000058,1.0,1.0,1.0,False,0.0
6,6,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,4.0,6.0,2.0,right,M,0.0,16.39999999999418,1.0,0.0,1.0,False,0.0
7,7,calibration,1,A,1,0.0,0.0,0.7,0.8,left,left,1,1,6.0,9.0,3.0,right,M,0.0,304.9000000238302,0.0,0.0,1.0,False,0.0
8,8,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,5.0,2.0,right,M,0.0,201.90000001192675,1.0,1.0,1.0,False,0.0
9,9,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,6.0,5.0,1.0,left,M,0.0,16.70000000001164,0.0,1.0,0.0,False,0.0
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,7.0,2.0,left,Z,1.0,16.10000000000582,1.0,1.0,1.0,False,1.0
11,11,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,10.0,5.0,right,M,0.0,165.50000000596629,1.0,1.0,1.0,False,0.0
12,12,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,7.0,8.0,1.0,right,Z,1.0,144.20000000594882,0.0,1.0,0.0,False,1.0
13,13,calibration,1,C,3,0.0,0.0,0.9,0.8,left,left,1,1,2.0,9.0,7.0,right,M,0.0,489.50000001193257,0.0,0.0,1.0,False,0.0
14,14,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,6.0,1.0,left,M,0.0,332.7000000178814,0.0,0.0,0.0,False,0.0
15,15,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,10.0,8.0,right,M,0.0,1402.8999999999942,1.0,1.0,1.0,False,0.0
