event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P036,11.0,verbal_first,3.0,1,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,9.0,5.0,4.0,left,CLUB-9.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,462.99999992847734,False,1.0,0.0,1.0,1.0,1.0,1,2,1,0,1
45,P036,11.0,verbal_first,3.0,2,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,4.0,2.0,2.0,left,HEART-4.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,102.69999992847444,False,1.0,0.0,1.0,1.0,1.0,2,1,1,0,1
50,P036,11.0,verbal_first,3.0,3,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,9.0,5.0,4.0,left,HEART-9.png,4.0,I think I'm going to win this round.,Z,M,Z,M,0.0,510.5,False,0.0,0.0,1.0,0.0,0.0,3,3,1,1,0
55,P036,11.0,verbal_first,3.0,4,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,3.0,1.0,2.0,left,CLUB-3.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1333.5999999523192,False,1.0,1.0,1.0,1.0,1.0,4,1,1,1,1
60,P036,11.0,verbal_first,3.0,5,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,3.0,6.0,3.0,right,DIAMOND-6.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,7.0,False,1.0,1.0,0.0,0.0,1.0,5,2,1,1,0
65,P036,11.0,verbal_first,3.0,6,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,4.0,3.0,1.0,left,DIAMOND-4.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,226.0,False,1.0,1.0,1.0,1.0,1.0,6,3,1,1,1
70,P036,11.0,verbal_first,3.0,7,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,10.0,2.0,8.0,left,SPADE-10.png,8.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,726.699999976161,False,1.0,0.0,1.0,1.0,1.0,7,1,1,0,1
75,P036,11.0,verbal_first,3.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,9.0,4.0,5.0,left,DIAMOND-9.png,5.0,I think I'm going to win this round.,Z,M,Z,M,0.0,1141.7000000238477,False,0.0,1.0,0.0,0.0,0.0,8,2,1,0,1
80,P036,11.0,verbal_first,3.0,9,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,5.0,7.0,2.0,right,CLUB-7.png,2.0,I think I'm going to win this round.,Z,M,M,Z,0.0,1375.5999999523046,False,1.0,0.0,0.0,0.0,1.0,9,3,1,0,0
85,P036,11.0,verbal_first,3.0,10,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,7.0,4.0,3.0,left,HEART-7.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,998.3999999999942,False,1.0,1.0,1.0,1.0,1.0,10,2,1,1,1
90,P036,11.0,verbal_first,3.0,11,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,2.0,1.0,right,SPADE-2.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,546.6999999523105,False,0.0,1.0,1.0,1.0,0.0,11,1,1,0,0
95,P036,11.0,verbal_first,3.0,12,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,10.0,2.0,8.0,left,SPADE-10.png,8.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,422.6000000000058,False,1.0,1.0,1.0,1.0,1.0,12,3,1,1,1
100,P036,11.0,verbal_first,3.0,13,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,5.0,10.0,5.0,right,SPADE-10.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,1319.1999999284744,False,0.0,1.0,1.0,1.0,0.0,13,3,1,0,0
105,P036,11.0,verbal_first,3.0,14,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,8.0,7.0,1.0,left,CLUB-8.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1234.7999999999884,False,1.0,0.0,1.0,1.0,1.0,14,2,1,0,1
110,P036,11.0,verbal_first,3.0,15,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,9.0,10.0,1.0,right,HEART-10.png,1.0,I think I'm going to win this round.,Z,M,M,Z,0.0,894.9000000000233,False,1.0,0.0,1.0,0.0,1.0,15,1,1,0,1
115,P036,11.0,verbal_first,3.0,16,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,6.0,7.0,1.0,right,DIAMOND-7.png,1.0,I think I'm going to win this round.,Z,M,M,Z,0.0,476.2000000238477,False,1.0,0.0,1.0,0.0,1.0,16,3,1,0,1
120,P036,11.0,verbal_first,3.0,17,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,3.0,8.0,5.0,right,HEART-8.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,217.8000000238535,False,0.0,1.0,1.0,1.0,0.0,17,2,1,0,0
125,P036,11.0,verbal_first,3.0,18,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,10.0,7.0,3.0,left,CLUB-10.png,3.0,I think I'm going to win this round.,Z,M,Z,M,0.0,2328.1999999284744,False,0.0,0.0,1.0,0.0,0.0,18,1,1,1,0
