trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,6.0,3.0,left,M,0.0,42.800000071525574,0.0,0.0,0.0,False,0.0
2,2,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,4.0,2.0,2.0,left,M,0.0,314.80000004768954,0.0,1.0,0.0,False,0.0
3,3,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,9.0,5.0,right,Z,1.0,113.50000007152266,0.0,0.0,0.0,False,1.0
4,4,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,6.0,4.0,right,M,0.0,535.999999976164,1.0,1.0,1.0,False,0.0
5,5,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,10.0,4.0,6.0,left,Z,1.0,492.80000004768954,1.0,0.0,1.0,False,1.0
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,8.0,1.0,left,M,0.0,466.80000000001746,0.0,0.0,0.0,False,0.0
7,7,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,6.0,9.0,3.0,right,M,0.0,449.1000000476779,0.0,1.0,1.0,False,0.0
8,8,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,9.0,3.0,6.0,left,M,0.0,921.8000000476897,0.0,1.0,0.0,False,0.0
9,9,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,1.0,9.0,8.0,right,Z,1.0,612.999999976164,0.0,1.0,0.0,False,1.0
10,10,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,9.0,8.0,1.0,left,Z,1.0,349.2999999761523,1.0,1.0,1.0,False,1.0
11,11,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,7.0,10.0,3.0,right,M,0.0,788.6000000238419,0.0,1.0,1.0,False,0.0
12,12,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,4.0,3.0,1.0,left,M,0.0,387.2000000476837,0.0,0.0,0.0,False,0.0
13,13,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,8.0,2.0,6.0,left,M,0.0,456.6000000000058,1.0,0.0,0.0,False,0.0
14,14,calibration,1,C,3,0.0,1.0,0.9,0.8,left,right,1,0,2.0,6.0,4.0,right,M,0.0,321.30000002383895,0.0,1.0,1.0,False,0.0
15,15,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,5.0,6.0,1.0,right,M,0.0,739.1000000000058,1.0,1.0,1.0,False,0.0
16,16,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,5.0,3.0,2.0,left,Z,1.0,455.5,1.0,0.0,1.0,False,1.0
17,17,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,8.0,4.0,4.0,left,Z,1.0,99.5,1.0,1.0,1.0,False,1.0
18,18,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,5.0,4.0,left,Z,1.0,172.50000004767207,1.0,1.0,1.0,False,1.0
19,19,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,10.0,6.0,right,M,0.0,64.59999997616978,1.0,1.0,1.0,False,0.0
20,20,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,1.0,3.0,2.0,right,M,0.0,233.79999999998836,0.0,1.0,1.0,False,0.0
21,21,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,6.0,9.0,3.0,right,Z,1.0,576.9000000715314,0.0,0.0,0.0,False,1.0
