trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,10.0,4.0,6.0,left,Z,1.0,448.8999999940861,1.0,1.0,1.0,False,1.0
2,2,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,4.0,7.0,3.0,right,Z,1.0,357.89999997615814,1.0,0.0,0.0,False,1.0
3,3,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,7.0,2.0,right,M,0.0,16.899999999906868,1.0,1.0,1.0,False,0.0
4,4,calibration,1,B,2,0.0,0.0,0.8,0.8,right,right,0,0,6.0,3.0,3.0,left,M,0.0,303.59999998810235,1.0,1.0,0.0,False,0.0
5,5,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,1.0,8.0,7.0,right,M,0.0,85.7999999821186,1.0,0.0,1.0,False,0.0
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,150.10000000009313,1.0,1.0,1.0,False,0.0
7,7,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,6.0,8.0,2.0,right,Z,1.0,111.90000000002328,0.0,1.0,0.0,False,1.0
8,8,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,2.0,3.0,1.0,right,Z,1.0,279.7999999821186,0.0,1.0,0.0,False,1.0
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,5.0,4.0,1.0,left,Z,1.0,126.29999999399296,1.0,1.0,1.0,False,1.0
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,7.0,5.0,right,Z,1.0,483.20000000018626,0.0,0.0,0.0,False,1.0
11,11,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,5.0,4.0,1.0,left,M,0.0,219.59999998810235,0.0,1.0,0.0,False,0.0
12,12,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,5.0,10.0,5.0,right,Z,1.0,16.699999999953434,0.0,0.0,0.0,False,1.0
13,13,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,8.0,7.0,right,Z,1.0,126.39999998209532,0.0,0.0,0.0,False,1.0
14,14,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,6.0,1.0,5.0,left,M,0.0,376.4999999881256,0.0,0.0,0.0,False,0.0
15,15,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,8.0,6.0,right,M,0.0,227.49999998207204,1.0,1.0,1.0,False,0.0
16,16,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,91.2999999880558,1.0,1.0,1.0,False,0.0
17,17,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,5.0,3.0,right,Z,1.0,994.2999999761814,0.0,0.0,0.0,False,1.0
18,18,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,5.0,4.0,1.0,left,Z,1.0,245.2999999821186,1.0,1.0,1.0,False,1.0
19,19,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,8.0,3.0,5.0,left,M,0.0,334.1999999821419,1.0,0.0,0.0,False,0.0
20,20,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,5.0,3.0,2.0,left,Z,1.0,93.80000000004657,1.0,1.0,1.0,False,1.0
