trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,10.0,4.0,6.0,left,M,0.0,248.8000000000029,0.0,0.0,0.0,False,0.0
2,2,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,4.0,7.0,3.0,right,Z,1.0,561.2999999880849,1.0,0.0,0.0,False,1.0
3,3,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,7.0,2.0,right,M,0.0,969.5999999880733,1.0,1.0,1.0,False,0.0
4,4,calibration,1,B,2,0.0,0.0,0.8,0.8,right,right,0,0,6.0,3.0,3.0,left,Z,1.0,304.9999999821157,0.0,0.0,1.0,False,1.0
5,5,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,1.0,8.0,7.0,right,M,0.0,653.8999999761581,1.0,0.0,1.0,False,0.0
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,571.0999999940395,1.0,1.0,1.0,False,0.0
7,7,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,6.0,8.0,2.0,right,Z,1.0,744.8000000000029,0.0,1.0,0.0,False,1.0
8,8,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,2.0,3.0,1.0,right,Z,1.0,613.3999999940424,0.0,1.0,0.0,False,1.0
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,5.0,4.0,1.0,left,M,0.0,155.7999999821186,0.0,0.0,0.0,False,0.0
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,7.0,5.0,right,Z,1.0,538.6999999999971,0.0,0.0,0.0,False,1.0
11,11,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,5.0,4.0,1.0,left,M,0.0,204.5999999940395,0.0,1.0,0.0,False,0.0
12,12,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,5.0,10.0,5.0,right,Z,1.0,20.79999999998836,0.0,0.0,0.0,False,1.0
13,13,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,8.0,7.0,right,Z,1.0,20.60000000000582,0.0,0.0,0.0,False,1.0
14,14,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,6.0,1.0,5.0,left,M,0.0,20.79999999998836,0.0,0.0,0.0,False,0.0
15,15,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,8.0,6.0,right,M,0.0,687.3999999999942,1.0,1.0,1.0,False,0.0
16,16,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,9.0,8.0,right,Z,1.0,303.19999998807907,0.0,0.0,0.0,False,1.0
17,17,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,5.0,3.0,right,M,0.0,471.19999999404536,1.0,1.0,1.0,False,0.0
18,18,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,5.0,4.0,1.0,left,M,0.0,725.8999999821244,0.0,0.0,0.0,False,0.0
19,19,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,8.0,3.0,5.0,left,M,0.0,297.09999999403954,1.0,0.0,0.0,False,0.0
20,20,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,5.0,3.0,2.0,left,Z,1.0,354.1000000000349,1.0,1.0,1.0,False,1.0
21,21,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,10.0,9.0,1.0,left,Z,1.0,20.89999999999418,1.0,1.0,1.0,False,1.0
22,22,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,1.0,9.0,left,M,0.0,470.9999999940337,0.0,0.0,0.0,False,0.0
23,23,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,10.0,4.0,6.0,left,M,0.0,163.59999998807325,1.0,0.0,0.0,False,0.0
24,24,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,3.0,5.0,2.0,right,Z,1.0,309.5999999761698,0.0,0.0,0.0,False,1.0
25,25,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,4.0,2.0,right,Z,1.0,20.79999999998836,0.0,0.0,0.0,False,1.0
26,26,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,9.0,1.0,8.0,left,M,0.0,549.3999999821244,0.0,1.0,0.0,False,0.0
27,27,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,8.0,1.0,7.0,left,Z,1.0,1046.2999999761523,1.0,1.0,1.0,False,1.0
28,28,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,7.0,2.0,left,Z,1.0,509.1000000000058,1.0,1.0,1.0,False,1.0
29,29,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,7.0,8.0,1.0,right,M,0.0,20.699999999982538,0.0,1.0,1.0,False,0.0
30,30,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,2.0,3.0,1.0,right,Z,1.0,338.69999999404536,0.0,1.0,0.0,False,1.0
31,31,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,5.0,4.0,1.0,left,M,0.0,20.89999999999418,0.0,0.0,0.0,False,0.0
