trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,0.0,0.0,0.8,0.8,right,right,0,0,4.0,3.0,1.0,left,Z,1.0,2312.199999998513,0.0,0.0,1.0,False,1.0
2,2,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,4.0,9.0,5.0,right,Z,1.0,649.9000000000087,1.0,0.0,0.0,False,1.0
3,3,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,3.0,9.0,6.0,right,M,0.0,1706.10000000149,1.0,1.0,1.0,False,0.0
4,4,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,9.0,1.0,left,Z,1.0,829.0999999955238,1.0,1.0,1.0,False,1.0
5,5,calibration,1,C,3,0.0,1.0,0.9,0.8,left,right,1,0,4.0,10.0,6.0,right,M,0.0,995.60000000149,0.0,1.0,1.0,False,0.0
6,6,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,3.0,8.0,5.0,right,M,0.0,447.2999999955355,1.0,0.0,1.0,False,0.0
7,7,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,2.0,7.0,left,M,0.0,1166.6999999999823,0.0,0.0,0.0,False,0.0
8,8,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,9.0,7.0,right,M,0.0,883.0,1.0,1.0,1.0,False,0.0
9,9,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,6.0,5.0,1.0,left,Z,1.0,680.2000000000116,1.0,0.0,1.0,False,1.0
10,10,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,8.0,4.0,right,M,0.0,1203.8999999970256,1.0,1.0,1.0,False,0.0
11,11,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,2.0,7.0,5.0,right,Z,1.0,544.5,0.0,1.0,0.0,False,1.0
12,12,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,5.0,2.0,3.0,left,Z,1.0,892.2999999985041,1.0,1.0,1.0,False,1.0
13,13,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,8.0,3.0,5.0,left,M,0.0,596.5999999985215,0.0,0.0,0.0,False,0.0
14,14,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,9.0,6.0,right,M,0.0,135.59999999700813,1.0,1.0,1.0,False,0.0
15,15,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,1625.5999999955238,1.0,1.0,1.0,False,0.0
16,16,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,9.0,10.0,1.0,right,M,0.0,130.69999999552965,1.0,0.0,1.0,False,0.0
17,17,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,8.0,10.0,2.0,right,M,0.0,233.70000000001164,1.0,1.0,1.0,False,0.0
18,18,calibration,1,B,2,0.0,0.0,0.8,0.8,left,left,1,1,3.0,6.0,3.0,right,Z,1.0,137.499999995518,1.0,1.0,0.0,False,1.0
19,19,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,1.0,9.0,8.0,right,M,0.0,31.79999999998836,1.0,0.0,1.0,False,0.0
20,20,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,5.0,10.0,5.0,right,M,0.0,83.39999999702559,1.0,1.0,1.0,False,0.0
21,21,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,4.0,5.0,1.0,right,Z,1.0,184.80000000150176,1.0,0.0,0.0,False,1.0
22,22,calibration,1,C,3,0.0,1.0,0.9,0.8,left,right,1,0,4.0,10.0,6.0,right,Z,1.0,1466.6000000000058,1.0,0.0,0.0,False,1.0
23,23,calibration,1,A,1,0.0,0.0,0.7,0.8,right,right,0,0,9.0,7.0,2.0,left,M,0.0,430.7999999999883,1.0,1.0,0.0,False,0.0
24,24,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,8.0,5.0,right,M,0.0,459.19999999701395,1.0,1.0,1.0,False,0.0
25,25,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,6.0,7.0,1.0,right,M,0.0,696.2000000014959,1.0,0.0,1.0,False,0.0
26,26,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,8.0,10.0,2.0,right,M,0.0,461.7999999955355,1.0,0.0,1.0,False,0.0
27,27,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,4.0,1.0,3.0,left,Z,1.0,418.0000000000291,1.0,0.0,1.0,False,1.0
28,28,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,7.0,5.0,right,M,0.0,403.19999999701395,1.0,1.0,1.0,False,0.0
29,29,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,9.0,7.0,2.0,left,M,0.0,123.59999999700813,1.0,0.0,0.0,False,0.0
30,30,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,4.0,1.0,3.0,left,M,0.0,196.20000000001164,1.0,0.0,0.0,False,0.0
31,31,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,10.0,9.0,right,M,0.0,654.7000000000116,1.0,1.0,1.0,False,0.0
32,32,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,7.0,10.0,3.0,right,M,0.0,705.5,0.0,1.0,1.0,False,0.0
33,33,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,2.0,8.0,left,Z,1.0,129.89999999850988,1.0,1.0,1.0,False,1.0
34,34,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,7.0,10.0,3.0,right,M,0.0,316.79999999998836,1.0,1.0,1.0,False,0.0
35,35,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,10.0,5.0,right,M,0.0,343.09999999555293,1.0,1.0,1.0,False,0.0
36,36,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,5.0,1.0,4.0,left,Z,1.0,384.4000000000233,1.0,0.0,1.0,False,1.0
37,37,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,10.0,6.0,right,M,0.0,167.10000000003492,1.0,1.0,1.0,False,0.0
38,38,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,4.0,9.0,5.0,right,M,0.0,254.69999999552965,1.0,0.0,1.0,False,0.0
39,39,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,6.0,5.0,1.0,left,M,0.0,31.399999996996485,1.0,0.0,0.0,False,0.0
40,40,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,5.0,1.0,right,M,0.0,398.5999999970081,1.0,1.0,1.0,False,0.0
41,41,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,4.0,6.0,2.0,right,M,0.0,584.7000000000116,0.0,1.0,1.0,False,0.0
42,42,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,8.0,1.0,left,Z,1.0,537.4999999984866,1.0,1.0,1.0,False,1.0
43,43,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,5.0,6.0,1.0,right,M,0.0,228.9999999970314,1.0,1.0,1.0,False,0.0
44,44,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,4.0,2.0,2.0,left,M,0.0,63.49999999551801,1.0,0.0,0.0,False,0.0
45,45,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,6.0,7.0,1.0,right,M,0.0,292.19999999849824,1.0,1.0,1.0,False,0.0
46,46,verbal_volatile,2,A,1,1.0,1.0,0.7,0.2,left,left,1,1,5.0,3.0,2.0,left,Z,1.0,56.099999998521525,1.0,1.0,1.0,False,1.0
47,47,verbal_volatile,2,C,3,1.0,0.0,0.9,0.2,right,left,0,1,2.0,6.0,4.0,right,M,0.0,34.99999999551801,1.0,0.0,1.0,False,0.0
48,48,verbal_volatile,2,B,2,1.0,0.0,0.8,0.2,right,left,0,1,3.0,9.0,6.0,right,M,0.0,210.90000000147847,1.0,0.0,1.0,False,0.0
49,49,verbal_volatile,2,B,2,0.0,0.0,0.8,0.2,right,right,0,0,7.0,4.0,3.0,left,M,0.0,694.7000000014668,1.0,1.0,0.0,False,0.0
50,50,verbal_volatile,2,C,3,1.0,0.0,0.9,0.2,right,left,0,1,1.0,7.0,6.0,right,M,0.0,379.4000000000233,1.0,0.0,1.0,False,0.0
51,51,verbal_volatile,2,A,1,1.0,0.0,0.7,0.2,left,right,1,0,9.0,8.0,1.0,left,M,0.0,496.5,0.0,1.0,0.0,False,0.0
52,52,verbal_volatile,2,B,2,1.0,0.0,0.8,0.2,left,right,1,0,3.0,1.0,2.0,left,Z,1.0,449.70000000006985,1.0,0.0,1.0,False,1.0
53,53,verbal_volatile,2,A,1,1.0,0.0,0.7,0.2,left,right,1,0,10.0,5.0,5.0,left,Z,1.0,681.5999999955529,1.0,0.0,1.0,False,1.0
54,54,verbal_volatile,2,C,3,1.0,0.0,0.9,0.2,left,right,1,0,8.0,7.0,1.0,left,Z,1.0,164.70000000001164,1.0,0.0,1.0,False,1.0
55,55,verbal_volatile,2,A,1,0.0,1.0,0.7,0.2,right,left,0,1,6.0,5.0,1.0,left,M,0.0,190.80000000150176,1.0,0.0,0.0,False,0.0
56,56,verbal_volatile,2,B,2,1.0,1.0,0.8,0.2,left,left,1,1,10.0,2.0,8.0,left,Z,1.0,16.600000000034925,1.0,1.0,1.0,False,1.0
57,57,verbal_volatile,2,C,3,1.0,0.0,0.9,0.2,right,left,0,1,6.0,9.0,3.0,right,M,0.0,128.29999999550637,1.0,0.0,1.0,False,0.0
58,58,verbal_volatile,2,B,2,1.0,0.0,0.8,0.2,right,left,0,1,2.0,6.0,4.0,right,M,0.0,1240.7000000014668,1.0,0.0,1.0,False,0.0
59,59,verbal_volatile,2,A,1,1.0,0.0,0.7,0.2,right,left,0,1,1.0,3.0,2.0,right,M,0.0,882.8000000000466,1.0,0.0,1.0,False,0.0
60,60,verbal_volatile,2,C,3,1.0,0.0,0.9,0.2,left,right,1,0,10.0,3.0,7.0,left,M,0.0,16.900000000023283,0.0,1.0,0.0,False,0.0
61,61,verbal_volatile,2,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,10.0,8.0,right,M,0.0,275.09999999555293,1.0,1.0,1.0,False,0.0
62,62,verbal_volatile,2,A,1,0.0,1.0,0.7,0.8,left,right,1,0,8.0,10.0,2.0,right,Z,1.0,987.5000000015134,1.0,0.0,0.0,False,1.0
63,63,verbal_volatile,2,C,3,1.0,1.0,0.9,0.8,left,left,1,1,5.0,2.0,3.0,left,Z,1.0,66.69999999995343,1.0,1.0,1.0,False,1.0
64,64,verbal_volatile,2,B,2,1.0,1.0,0.8,0.8,right,right,0,0,1.0,2.0,1.0,right,M,0.0,16.5,1.0,1.0,1.0,False,0.0
65,65,verbal_volatile,2,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,5.0,4.0,right,M,0.0,69.09999999997672,1.0,1.0,1.0,False,0.0
66,66,verbal_volatile,2,A,1,0.0,1.0,0.7,0.8,right,left,0,1,4.0,2.0,2.0,left,M,0.0,181.0,1.0,0.0,0.0,False,0.0
67,67,verbal_volatile,2,C,3,1.0,0.0,0.9,0.8,right,left,0,1,1.0,3.0,2.0,right,M,0.0,181.19999999849824,1.0,0.0,1.0,False,0.0
68,68,verbal_volatile,2,A,1,1.0,0.0,0.7,0.8,left,right,1,0,7.0,3.0,4.0,left,Z,1.0,16.70000000001164,1.0,0.0,1.0,False,1.0
69,69,verbal_volatile,2,B,2,1.0,0.0,0.8,0.8,left,right,1,0,6.0,1.0,5.0,left,,,3001.29999999702,,,,True,
70,70,verbal_volatile,2,A,1,0.0,1.0,0.7,0.8,right,left,0,1,9.0,6.0,3.0,left,M,0.0,17.400000000023283,1.0,0.0,0.0,False,0.0
71,71,verbal_volatile,2,C,3,1.0,1.0,0.9,0.8,right,right,0,0,3.0,5.0,2.0,right,Z,1.0,179.39999999699648,0.0,0.0,0.0,False,1.0
72,72,verbal_volatile,2,B,2,0.0,0.0,0.8,0.8,left,left,1,1,1.0,8.0,7.0,right,M,0.0,94.8999999955413,0.0,0.0,1.0,False,0.0
73,73,verbal_volatile,2,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,7.0,5.0,right,M,0.0,560.0999999985215,1.0,1.0,1.0,False,0.0
74,74,verbal_volatile,2,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,6.0,5.0,right,M,0.0,681.3999999955413,1.0,1.0,1.0,False,0.0
