trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,8.0,10.0,2.0,right,M,0.0,29.90000002384477,1.0,0.0,1.0,False,0.0
2,2,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,7.0,8.0,1.0,right,M,0.0,561.5000000476866,1.0,1.0,1.0,False,0.0
3,3,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,7.0,6.0,right,M,0.0,15.69999999999709,1.0,1.0,1.0,False,0.0
4,4,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,5.0,1.0,right,Z,1.0,172.70000002384768,0.0,0.0,0.0,False,1.0
5,5,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,5.0,7.0,2.0,right,M,0.0,80.0,1.0,1.0,1.0,False,0.0
6,6,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,4.0,6.0,2.0,right,M,0.0,114.00000002383604,1.0,0.0,1.0,False,0.0
7,7,calibration,1,A,1,0.0,0.0,0.7,0.8,left,left,1,1,6.0,9.0,3.0,right,Z,1.0,384.1000000476779,1.0,1.0,0.0,False,1.0
8,8,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,5.0,2.0,right,M,0.0,129.5999999523192,1.0,1.0,1.0,False,0.0
9,9,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,6.0,5.0,1.0,left,Z,1.0,162.0999999523192,1.0,0.0,1.0,False,1.0
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,7.0,2.0,left,Z,1.0,72.69999995231046,1.0,1.0,1.0,False,1.0
11,11,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,10.0,5.0,right,M,0.0,556.4000000238448,1.0,1.0,1.0,False,0.0
12,12,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,7.0,8.0,1.0,right,M,0.0,551.2000000476837,1.0,0.0,1.0,False,0.0
13,13,calibration,1,C,3,0.0,0.0,0.9,0.8,left,left,1,1,2.0,9.0,7.0,right,Z,1.0,340.80000002383895,1.0,1.0,0.0,False,1.0
14,14,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,6.0,1.0,left,Z,1.0,543.6999999761465,1.0,1.0,1.0,False,1.0
15,15,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,10.0,8.0,right,M,0.0,228.79999997615232,1.0,1.0,1.0,False,0.0
16,16,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,211.29999999998836,1.0,1.0,1.0,False,0.0
17,17,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,8.0,3.0,5.0,left,Z,1.0,167.69999995231046,1.0,1.0,1.0,False,1.0
18,18,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,3.0,8.0,5.0,right,M,0.0,16.20000000001164,1.0,1.0,1.0,False,0.0
19,19,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,7.0,2.0,5.0,left,Z,1.0,48.20000000001164,1.0,1.0,1.0,False,1.0
20,20,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,10.0,8.0,2.0,left,Z,1.0,233.40000000002328,1.0,1.0,1.0,False,1.0
21,21,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,7.0,5.0,right,M,0.0,16.20000000001164,1.0,1.0,1.0,False,0.0
22,22,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,6.0,10.0,4.0,right,M,0.0,40.99999997616396,1.0,1.0,1.0,False,0.0
23,23,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,9.0,5.0,right,M,0.0,76.89999999999418,1.0,1.0,1.0,False,0.0
24,24,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,10.0,9.0,1.0,left,Z,1.0,250.4999999999709,1.0,0.0,1.0,False,1.0
25,25,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,9.0,6.0,right,M,0.0,16.60000000000582,1.0,1.0,1.0,False,0.0
26,26,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,5.0,1.0,4.0,left,Z,1.0,519.7999999761523,1.0,1.0,1.0,False,1.0
27,27,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,4.0,9.0,5.0,right,M,0.0,207.0,1.0,1.0,1.0,False,0.0
28,28,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,10.0,4.0,6.0,left,Z,1.0,50.99999997616396,1.0,1.0,1.0,False,1.0
29,29,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,8.0,1.0,7.0,left,Z,1.0,341.79999999998836,1.0,1.0,1.0,False,1.0
