event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P020,11.0,facial_first,5.0,1,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,8.0,10.0,2.0,right,HEART-10.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,559.0199999999895,False,0.0,1.0,0.0,1.0,0.0,1,2,1,0,1
45,P020,11.0,facial_first,5.0,2,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,7.0,8.0,1.0,right,SPADE-8.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,87.66000000000349,False,0.0,1.0,1.0,1.0,0.0,2,3,1,0,0
50,P020,11.0,facial_first,5.0,3,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,7.0,6.0,right,CLUB-7.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,781.5199999999895,False,0.0,1.0,1.0,1.0,0.0,3,1,1,0,0
55,P020,11.0,facial_first,5.0,4,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,4.0,5.0,1.0,right,SPADE-5.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,237.22000000000116,False,0.0,1.0,1.0,1.0,0.0,4,2,1,0,0
60,P020,11.0,facial_first,5.0,5,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,5.0,7.0,2.0,right,DIAMOND-7.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,16.679999999993015,False,0.0,1.0,1.0,1.0,0.0,5,1,1,0,0
65,P020,11.0,facial_first,5.0,6,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,4.0,6.0,2.0,right,DIAMOND-6.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,545.640000000014,False,0.0,1.0,0.0,1.0,0.0,6,3,1,0,1
70,P020,11.0,facial_first,5.0,7,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,0.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,6.0,9.0,3.0,right,DIAMOND-9.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,483.2000000000117,False,1.0,1.0,1.0,0.0,1.0,7,1,1,1,1
75,P020,11.0,facial_first,5.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,3.0,5.0,2.0,right,SPADE-5.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,397.5799999999872,False,0.0,1.0,1.0,1.0,0.0,8,2,1,0,0
80,P020,11.0,facial_first,5.0,9,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,6.0,5.0,1.0,left,SPADE-6.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,448.2000000000117,False,1.0,1.0,0.0,1.0,1.0,9,3,1,1,0
85,P020,11.0,facial_first,5.0,10,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,9.0,7.0,2.0,left,CLUB-9.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,672.1600000000035,False,1.0,1.0,1.0,1.0,1.0,10,1,1,1,1
90,P020,11.0,facial_first,5.0,11,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,5.0,10.0,5.0,right,CLUB-10.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,466.5799999999872,False,0.0,1.0,1.0,1.0,0.0,11,3,1,0,0
95,P020,11.0,facial_first,5.0,12,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,7.0,8.0,1.0,right,DIAMOND-8.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,735.3800000000047,False,0.0,1.0,0.0,1.0,0.0,12,2,1,0,1
100,P020,11.0,facial_first,5.0,13,calibration,,,C,neutral_vs_sad,0.9,0.8,0.0,0.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,2.0,9.0,7.0,right,DIAMOND-9.png,7.0,I think I'm going to win this round.,Z,M,M,Z,0.0,1197.7399999999907,False,1.0,1.0,1.0,0.0,1.0,13,3,1,1,1
105,P020,11.0,facial_first,5.0,14,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,7.0,6.0,1.0,left,SPADE-7.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,467.8999999999942,False,1.0,1.0,1.0,1.0,1.0,14,1,1,1,1
110,P020,11.0,facial_first,5.0,15,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,2.0,10.0,8.0,right,CLUB-10.png,8.0,I think I'm going to win this round.,Z,M,M,M,1.0,533.2199999999721,False,0.0,1.0,1.0,1.0,0.0,15,2,1,0,0
115,P020,11.0,facial_first,5.0,16,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,9.0,8.0,right,DIAMOND-9.png,8.0,I think I'm going to win this round.,Z,M,M,M,1.0,549.8600000000151,False,0.0,1.0,1.0,1.0,0.0,16,1,1,0,0
120,P020,11.0,facial_first,5.0,17,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,8.0,3.0,5.0,left,DIAMOND-8.png,5.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,654.4599999999919,False,1.0,1.0,1.0,1.0,1.0,17,2,1,1,1
125,P020,11.0,facial_first,5.0,18,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,3.0,8.0,5.0,right,HEART-8.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,848.140000000014,False,0.0,1.0,1.0,1.0,0.0,18,3,1,0,0
130,P020,11.0,facial_first,5.0,19,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,7.0,2.0,5.0,left,DIAMOND-7.png,5.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,469.859999999986,False,1.0,1.0,1.0,1.0,1.0,19,3,1,1,1
135,P020,11.0,facial_first,5.0,20,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,10.0,8.0,2.0,left,DIAMOND-10.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1232.820000000007,False,1.0,1.0,1.0,1.0,1.0,20,2,1,1,1
