trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,8.0,10.0,2.0,right,M,0.0,559.0199999999895,1.0,0.0,1.0,False,0.0
2,2,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,7.0,8.0,1.0,right,M,0.0,87.66000000000349,1.0,1.0,1.0,False,0.0
3,3,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,7.0,6.0,right,M,0.0,781.5199999999895,1.0,1.0,1.0,False,0.0
4,4,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,5.0,1.0,right,M,0.0,237.22000000000116,1.0,1.0,1.0,False,0.0
5,5,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,5.0,7.0,2.0,right,M,0.0,16.679999999993015,1.0,1.0,1.0,False,0.0
6,6,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,4.0,6.0,2.0,right,M,0.0,545.640000000014,1.0,0.0,1.0,False,0.0
7,7,calibration,1,A,1,0.0,0.0,0.7,0.8,left,left,1,1,6.0,9.0,3.0,right,Z,1.0,483.2000000000117,1.0,1.0,0.0,False,1.0
8,8,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,5.0,2.0,right,M,0.0,397.5799999999872,1.0,1.0,1.0,False,0.0
9,9,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,6.0,5.0,1.0,left,Z,1.0,448.2000000000117,1.0,0.0,1.0,False,1.0
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,7.0,2.0,left,Z,1.0,672.1600000000035,1.0,1.0,1.0,False,1.0
11,11,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,10.0,5.0,right,M,0.0,466.5799999999872,1.0,1.0,1.0,False,0.0
12,12,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,7.0,8.0,1.0,right,M,0.0,735.3800000000047,1.0,0.0,1.0,False,0.0
13,13,calibration,1,C,3,0.0,0.0,0.9,0.8,left,left,1,1,2.0,9.0,7.0,right,Z,1.0,1197.7399999999907,1.0,1.0,0.0,False,1.0
14,14,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,6.0,1.0,left,Z,1.0,467.8999999999942,1.0,1.0,1.0,False,1.0
15,15,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,10.0,8.0,right,M,0.0,533.2199999999721,1.0,1.0,1.0,False,0.0
16,16,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,549.8600000000151,1.0,1.0,1.0,False,0.0
17,17,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,8.0,3.0,5.0,left,Z,1.0,654.4599999999919,1.0,1.0,1.0,False,1.0
18,18,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,3.0,8.0,5.0,right,M,0.0,848.140000000014,1.0,1.0,1.0,False,0.0
19,19,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,7.0,2.0,5.0,left,Z,1.0,469.859999999986,1.0,1.0,1.0,False,1.0
20,20,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,10.0,8.0,2.0,left,Z,1.0,1232.820000000007,1.0,1.0,1.0,False,1.0
21,21,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,7.0,5.0,right,M,0.0,491.6600000000035,1.0,1.0,1.0,False,0.0
22,22,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,6.0,10.0,4.0,right,M,0.0,630.2799999999988,1.0,1.0,1.0,False,0.0
23,23,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,9.0,5.0,right,M,0.0,433.2200000000011,1.0,1.0,1.0,False,0.0
24,24,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,10.0,9.0,1.0,left,Z,1.0,332.88000000000466,1.0,0.0,1.0,False,1.0
