trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,3.0,2.0,1.0,left,Z,1.0,86.80000004768954,1.0,0.0,1.0,False,1.0
2,2,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,7.0,3.0,4.0,left,Z,1.0,2463.2000000476837,1.0,1.0,1.0,False,1.0
3,3,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,6.0,4.0,right,M,0.0,822.7999999523163,1.0,1.0,1.0,False,0.0
4,4,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,8.0,5.0,right,M,0.0,687.5,1.0,1.0,1.0,False,0.0
5,5,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,2.0,7.0,left,Z,1.0,583.0000000476721,1.0,1.0,1.0,False,1.0
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,7.0,2.0,left,Z,1.0,1064.9000000238302,1.0,1.0,1.0,False,1.0
7,7,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,5.0,1.0,4.0,left,Z,1.0,476.3999999999942,1.0,0.0,1.0,False,1.0
8,8,calibration,1,B,2,0.0,0.0,0.8,0.8,left,left,1,1,3.0,10.0,7.0,right,Z,1.0,123.99999997616396,1.0,1.0,0.0,False,1.0
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,6.0,2.0,right,M,0.0,1560.6999999761465,1.0,1.0,1.0,False,0.0
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,6.0,5.0,right,M,0.0,395.30000004768954,1.0,1.0,1.0,False,0.0
11,11,calibration,1,C,3,0.0,1.0,0.9,0.8,left,right,1,0,2.0,8.0,6.0,right,Z,1.0,124.79999997615232,1.0,0.0,0.0,False,1.0
