trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,3.0,10.0,7.0,right,M,0.0,396.3999999999942,1.0,1.0,1.0,False,0.0
2,2,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,5.0,1.0,4.0,left,M,0.0,194.59999997615523,0.0,1.0,0.0,False,0.0
3,3,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,7.0,6.0,right,M,0.0,300.19999998807907,1.0,1.0,1.0,False,0.0
4,4,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,10.0,4.0,6.0,left,Z,1.0,293.89999997615814,1.0,0.0,1.0,False,1.0
5,5,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,7.0,1.0,6.0,left,M,0.0,133.5,0.0,0.0,0.0,False,0.0
6,6,calibration,1,B,2,0.0,0.0,0.8,0.8,right,right,0,0,8.0,4.0,4.0,left,M,0.0,741.5999999761552,1.0,1.0,0.0,False,0.0
7,7,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,5.0,2.0,left,Z,1.0,1755.699999999997,1.0,1.0,1.0,False,1.0
8,8,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,4.0,1.0,3.0,left,Z,1.0,1276.499999976164,1.0,1.0,1.0,False,1.0
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,5.0,3.0,right,M,0.0,105.80000001192091,1.0,1.0,1.0,False,0.0
10,10,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,1.0,8.0,7.0,right,M,0.0,404.0999999761552,1.0,1.0,1.0,False,0.0
11,11,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,4.0,5.0,1.0,right,Z,1.0,320.3000000000029,0.0,1.0,0.0,False,1.0
12,12,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,2.0,8.0,left,Z,1.0,407.2999999642343,1.0,1.0,1.0,False,1.0
13,13,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,2.0,10.0,8.0,right,Z,1.0,589.2000000119151,1.0,0.0,0.0,False,1.0
14,14,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,4.0,5.0,left,M,0.0,333.5,0.0,0.0,0.0,False,0.0
15,15,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,2.0,5.0,left,Z,1.0,382.1000000119093,1.0,1.0,1.0,False,1.0
16,16,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,6.0,4.0,2.0,left,Z,1.0,387.4999999642314,1.0,1.0,1.0,False,1.0
17,17,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,8.0,9.0,1.0,right,M,0.0,305.2999999880849,1.0,1.0,1.0,False,0.0
18,18,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,3.0,1.0,right,M,0.0,220.89999997615817,1.0,1.0,1.0,False,0.0
19,19,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,9.0,6.0,3.0,left,M,0.0,55.29999999998836,1.0,0.0,0.0,False,0.0
20,20,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,6.0,1.0,5.0,left,Z,1.0,447.5999999880733,1.0,1.0,1.0,False,1.0
21,21,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,9.0,6.0,3.0,left,Z,1.0,161.59999997616978,1.0,0.0,1.0,False,1.0
22,22,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,7.0,10.0,3.0,right,M,0.0,247.2000000119151,1.0,1.0,1.0,False,0.0
23,23,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,10.0,7.0,3.0,left,Z,1.0,15.799999999988358,1.0,1.0,1.0,False,1.0
24,24,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,6.0,3.0,3.0,left,Z,1.0,138.50000001193257,1.0,0.0,1.0,False,1.0
25,25,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,4.0,1.0,3.0,left,Z,1.0,266.2000000119151,1.0,1.0,1.0,False,1.0
26,26,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,7.0,2.0,5.0,left,Z,1.0,259.8999999999942,1.0,1.0,1.0,False,1.0
27,27,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,10.0,5.0,5.0,left,Z,1.0,248.89999997615817,1.0,1.0,1.0,False,1.0
28,28,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,5.0,7.0,2.0,right,Z,1.0,340.2999999761523,1.0,0.0,0.0,False,1.0
