event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P027,11.0,facial_first,3.0,1,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,3.0,10.0,7.0,right,CLUB-10.png,7.0,I think I'm going to win this round.,Z,M,M,M,1.0,78.00000000000728,False,0.0,1.0,1.0,1.0,0.0,1,1,1,0,0
45,P027,11.0,facial_first,3.0,2,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,5.0,1.0,4.0,left,DIAMOND-5.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,373.0,False,1.0,1.0,0.0,1.0,1.0,2,2,1,1,0
50,P027,11.0,facial_first,3.0,3,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,1.0,7.0,6.0,right,SPADE-7.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,1310.0,False,0.0,1.0,1.0,1.0,0.0,3,3,1,0,0
55,P027,11.0,facial_first,3.0,4,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,10.0,4.0,6.0,left,DIAMOND-10.png,6.0,I think I'm going to win this round.,Z,M,Z,M,0.0,1672.0,False,0.0,0.0,1.0,0.0,0.0,4,1,1,1,0
60,P027,11.0,facial_first,3.0,5,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,7.0,1.0,6.0,left,SPADE-7.png,6.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1479.0,False,1.0,1.0,1.0,1.0,1.0,5,3,1,1,1
65,P027,11.0,facial_first,3.0,6,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,0.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,8.0,4.0,4.0,left,CLUB-8.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,279.0,False,1.0,0.0,0.0,1.0,1.0,6,2,1,0,0
70,P027,11.0,facial_first,3.0,7,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,7.0,5.0,2.0,left,CLUB-7.png,2.0,I think I'm going to win this round.,Z,M,Z,M,0.0,374.0,False,0.0,0.0,0.0,0.0,0.0,7,1,1,1,1
75,P027,11.0,facial_first,3.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,4.0,1.0,3.0,left,HEART-4.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1293.0000000000146,False,1.0,1.0,1.0,1.0,1.0,8,2,1,1,1
80,P027,11.0,facial_first,3.0,9,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,2.0,5.0,3.0,right,SPADE-5.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,466.0,False,1.0,0.0,0.0,0.0,1.0,9,3,1,0,0
85,P027,11.0,facial_first,3.0,10,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,1.0,8.0,7.0,right,HEART-8.png,7.0,I think I'm going to win this round.,Z,M,M,M,1.0,1321.0,False,0.0,1.0,1.0,1.0,0.0,10,2,1,0,0
90,P027,11.0,facial_first,3.0,11,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,4.0,5.0,1.0,right,DIAMOND-5.png,1.0,I think I'm going to win this round.,Z,M,M,Z,0.0,1526.0,False,1.0,0.0,1.0,0.0,1.0,11,3,1,0,1
95,P027,11.0,facial_first,3.0,12,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,10.0,2.0,8.0,left,DIAMOND-10.png,8.0,I think I'm going to win this round.,Z,M,Z,M,0.0,1611.0,False,0.0,0.0,0.0,0.0,0.0,12,1,1,1,1
100,P027,11.0,facial_first,3.0,13,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,2.0,10.0,8.0,right,SPADE-10.png,8.0,I think I'm going to win this round.,Z,M,M,Z,0.0,1969.0000000000143,False,1.0,1.0,0.0,0.0,1.0,13,2,1,1,0
105,P027,11.0,facial_first,3.0,14,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,9.0,4.0,5.0,left,SPADE-9.png,5.0,I think I'm going to win this round.,Z,M,Z,M,0.0,462.0,False,0.0,0.0,0.0,0.0,0.0,14,3,1,1,1
110,P027,11.0,facial_first,3.0,15,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,7.0,2.0,5.0,left,SPADE-7.png,5.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1588.0,False,1.0,1.0,1.0,1.0,1.0,15,1,1,1,1
