trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,0.0,0.0,0.8,0.8,right,right,0,0,4.0,3.0,1.0,left,Z,1.0,1706.999999999258,0.0,0.0,1.0,False,1.0
2,2,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,4.0,9.0,5.0,right,Z,1.0,825.600000000748,1.0,0.0,0.0,False,1.0
3,3,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,3.0,9.0,6.0,right,M,0.0,1211.800000000003,1.0,1.0,1.0,False,0.0
4,4,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,9.0,1.0,left,Z,1.0,996.10000000149,1.0,1.0,1.0,False,1.0
5,5,calibration,1,C,3,0.0,1.0,0.9,0.8,left,right,1,0,4.0,10.0,6.0,right,M,0.0,1334.6999999985128,0.0,1.0,1.0,False,0.0
6,6,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,3.0,8.0,5.0,right,Z,1.0,1117.5,0.0,1.0,0.0,False,1.0
7,7,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,2.0,7.0,left,Z,1.0,891.0999999992491,1.0,1.0,1.0,False,1.0
8,8,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,2.0,9.0,7.0,right,M,0.0,1133.4000000007509,1.0,1.0,1.0,False,0.0
9,9,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,6.0,5.0,1.0,left,Z,1.0,946.7999999992608,1.0,0.0,1.0,False,1.0
10,10,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,8.0,4.0,right,M,0.0,2225.2999999992608,1.0,1.0,1.0,False,0.0
11,11,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,2.0,7.0,5.0,right,M,0.0,850.8000000007451,1.0,0.0,1.0,False,0.0
12,12,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,5.0,2.0,3.0,left,Z,1.0,329.4000000014785,1.0,1.0,1.0,False,1.0
13,13,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,8.0,3.0,5.0,left,Z,1.0,366.6000000007334,1.0,1.0,1.0,False,1.0
14,14,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,9.0,6.0,right,M,0.0,307.80000000150176,1.0,1.0,1.0,False,0.0
15,15,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,229.40000000002328,1.0,1.0,1.0,False,0.0
16,16,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,9.0,10.0,1.0,right,M,0.0,1661.0,1.0,0.0,1.0,False,0.0
17,17,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,8.0,10.0,2.0,right,M,0.0,471.2000000000117,1.0,1.0,1.0,False,0.0
18,18,calibration,1,B,2,0.0,0.0,0.8,0.8,left,left,1,1,3.0,6.0,3.0,right,Z,1.0,373.19999999849824,1.0,1.0,0.0,False,1.0
19,19,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,1.0,9.0,8.0,right,M,0.0,64.70000000149594,1.0,0.0,1.0,False,0.0
20,20,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,5.0,10.0,5.0,right,M,0.0,209.9999999992433,1.0,1.0,1.0,False,0.0
21,21,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,4.0,5.0,1.0,right,Z,1.0,538.7999999992608,1.0,0.0,0.0,False,1.0
22,22,calibration,1,C,3,0.0,1.0,0.9,0.8,left,right,1,0,4.0,10.0,6.0,right,Z,1.0,487.5000000014843,1.0,0.0,0.0,False,1.0
23,23,calibration,1,A,1,0.0,0.0,0.7,0.8,right,right,0,0,9.0,7.0,2.0,left,M,0.0,94.29999999850406,1.0,1.0,0.0,False,0.0
24,24,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,8.0,5.0,right,M,0.0,464.3999999992666,1.0,1.0,1.0,False,0.0
25,25,calibration,1,B,2,1.0,0.0,0.8,0.8,right,left,0,1,6.0,7.0,1.0,right,Z,1.0,1599.4999999985157,0.0,1.0,0.0,False,1.0
26,26,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,8.0,10.0,2.0,right,M,0.0,537.0000000014843,1.0,0.0,1.0,False,0.0
27,27,calibration,1,C,3,1.0,0.0,0.9,0.8,left,right,1,0,4.0,1.0,3.0,left,Z,1.0,259.69999999925494,1.0,0.0,1.0,False,1.0
28,28,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,7.0,5.0,right,M,0.0,283.0,1.0,1.0,1.0,False,0.0
29,29,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,9.0,7.0,2.0,left,M,0.0,1391.10000000149,1.0,0.0,0.0,False,0.0
