trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,3.0,10.0,7.0,right,M,0.0,16.69999999999709,1.0,1.0,1.0,False,0.0
2,2,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,5.0,1.0,4.0,left,Z,1.0,315.9000000029773,1.0,0.0,1.0,False,1.0
3,3,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,7.0,6.0,right,M,0.0,16.70000000001164,1.0,1.0,1.0,False,0.0
4,4,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,10.0,4.0,6.0,left,Z,1.0,298.0000000029686,1.0,0.0,1.0,False,1.0
5,5,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,7.0,1.0,6.0,left,Z,1.0,371.5000000089349,1.0,1.0,1.0,False,1.0
6,6,calibration,1,B,2,0.0,0.0,0.8,0.8,right,right,0,0,8.0,4.0,4.0,left,M,0.0,290.00000001193257,1.0,1.0,0.0,False,0.0
7,7,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,5.0,2.0,left,Z,1.0,606.5000000029686,1.0,1.0,1.0,False,1.0
8,8,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,4.0,1.0,3.0,left,M,0.0,691.0000000059663,0.0,0.0,0.0,False,0.0
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,5.0,3.0,right,M,0.0,371.90000000596046,1.0,1.0,1.0,False,0.0
10,10,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,1.0,8.0,7.0,right,Z,1.0,323.20000000001164,0.0,0.0,0.0,False,1.0
11,11,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,4.0,5.0,1.0,right,M,0.0,715.8999999999942,1.0,0.0,1.0,False,0.0
12,12,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,2.0,8.0,left,Z,1.0,186.90000001192675,1.0,1.0,1.0,False,1.0
13,13,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,2.0,10.0,8.0,right,M,0.0,1398.8000000000177,0.0,1.0,1.0,False,0.0
14,14,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,4.0,5.0,left,Z,1.0,932.5000000000292,1.0,1.0,1.0,False,1.0
15,15,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,2.0,5.0,left,Z,1.0,992.7000000029802,1.0,1.0,1.0,False,1.0
