trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,6.0,3.0,left,M,0.0,744.4000000357628,0.0,0.0,0.0,False,0.0
2,2,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,4.0,2.0,2.0,left,M,0.0,736.0000000476721,0.0,1.0,0.0,False,0.0
3,3,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,9.0,5.0,right,Z,1.0,481.40000004769536,0.0,0.0,0.0,False,1.0
4,4,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,6.0,4.0,right,Z,1.0,409.0000000357686,0.0,0.0,0.0,False,1.0
5,5,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,10.0,4.0,6.0,left,M,0.0,16.60000000000582,0.0,1.0,0.0,False,0.0
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,8.0,1.0,left,Z,1.0,628.1000000357744,1.0,1.0,1.0,False,1.0
7,7,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,6.0,9.0,3.0,right,M,0.0,371.3999999999942,0.0,1.0,1.0,False,0.0
8,8,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,9.0,3.0,6.0,left,M,0.0,1287.1000000357744,0.0,1.0,0.0,False,0.0
9,9,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,1.0,9.0,8.0,right,Z,1.0,236.90000004769536,0.0,1.0,0.0,False,1.0
10,10,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,9.0,8.0,1.0,left,Z,1.0,218.20000002384768,1.0,1.0,1.0,False,1.0
11,11,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,7.0,10.0,3.0,right,M,0.0,187.20000004768372,0.0,1.0,1.0,False,0.0
12,12,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,4.0,3.0,1.0,left,Z,1.0,345.9000000357628,1.0,1.0,1.0,False,1.0
13,13,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,8.0,2.0,6.0,left,Z,1.0,16.79999999998836,0.0,1.0,1.0,False,1.0
14,14,calibration,1,C,3,0.0,1.0,0.9,0.8,left,right,1,0,2.0,6.0,4.0,right,M,0.0,445.8000000238535,0.0,1.0,1.0,False,0.0
15,15,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,5.0,6.0,1.0,right,M,0.0,211.50000004767207,1.0,1.0,1.0,False,0.0
16,16,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,5.0,3.0,2.0,left,M,0.0,99.30000003575697,0.0,1.0,0.0,False,0.0
17,17,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,8.0,4.0,4.0,left,Z,1.0,345.3999999999942,1.0,1.0,1.0,False,1.0
